,FATE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),27.92,45.03,Valuation,0.6200310903841884
Price/Book (MRQ),3.72,12.61,Valuation,0.2950039651070579
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-4.5404,-4.7459,Profitability,0.9566994669082788
Net Profit Margin (TTM),-4.2598,-4.5467,Profitability,0.9368992895946511
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.0944,-0.0014000000000000002,Gowth rates,67.42857142857142
EPS Growth (TTM),-0.4311,0.027200000000000002,Gowth rates,-15.849264705882351
Revenue Growth (MRQ),-0.1924,1.3963999999999999,Gowth rates,-0.13778287023775423
Revenue Growth (TTM),0.2622,0.9747,Gowth rates,0.26900584795321636
Return On Equity (TTM),-0.47100000000000003,0.1967,Effectiveness,-2.3945094051855618
Return On Assets (TTM),-0.33909999999999996,0.0016,Effectiveness,-211.93749999999997
Return On Investment (TTM),-0.3823,0.0219,Effectiveness,-17.45662100456621
Revenue Per Employee (TTM),153704.0,1476201.0,Effectiveness,0.10412132223186409
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
