,FTDR
% Above Low,0.2043
% Held by Institutions,1.1053
52-Wk Range,['19.71 - 39.01']
Annual Dividend $,
Annual Dividend %,
Ask,23.74
Ask Size,8300.0
B/A Ratio,0.024096385542168676
B/A Size,200x8300
Beta,0.7
Bid,9.48
Bid Size,200.0
Closing Price,23.73
Day Change $,0.03
Day Change %,0.0013
Day High,23.83
Day Low,23.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.84
Ex-dividend Date,No dividend
Historical Volatility,0.423
Last (size),39.0
Last (time),1:00p ET 11/25/22
Market Cap,1.9B
"P/E Ratio (TTM, GAAP)",28.25
Prev Close,23.7
Short Interest,0.0713
Today's Open,23.83
Volume,258535.0
Volume 10-day Avg,598957.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.4390243902439024
Growth 1yr High Est,-0.45959595959595956
Growth 1yr Consensus Est,-0.44931017491993097
Growth 2yr Low Est,-0.18146871686108168
Growth 2yr High Est,0.13468800151043148
Growth 2yr Consensus Est,-0.023390357675325102
Growth 5yr Low Est,-0.10862212875119709
Growth 5yr High Est,0.09730297076087502
Growth 5yr Consensus Est,-0.005659578995161035
Growth 5yr Actual/Est,-0.030883365036317667
Growth 3yr Historic,0.008786078098471983
Price/Earnings (TTM),28.25067
Price/Sales (TTM),1.16425
Price/Book (MRQ),41.14412
Price/Cash Flow (TTM),18.77498
5yr Low,19.71
5yr High,58.94
5yr Avg Return,0.028240000000000025
EPS Growth 5yr,0.0040333999999999995
Revenue Growth 5yr,0.09449170000000001
Dividend Growth 5yr,
Short Int Current Month,5787518.0
Short Int Prev Month,5689895.0
Short Int Pct of Float,0.0712792
Days to Cover,5.59233
Float,81.20183
Shares Outstanding,81.49276
Institutions Holding Shares,295.0
FCF Growth 5yr,-0.037631958684590315
"Price/Earnings (TTM, GAAP)",28.25
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4244
Operating Profit Margin (TTM),0.05480000000000001
Net Profit Margin (TTM),0.0415
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.14529999999999998
EPS Growth (TTM),-0.4083
Revenue Growth (MRQ),-0.0062
Revenue Growth (TTM),0.0479
Return On Equity (TTM),1.2661
Return On Assets (TTM),0.061200000000000004
Return On Investment (TTM),0.09380000000000001
Revenue Per Employee (TTM),798174.0
Total Debt/Total Capital (MRQ),0.9288
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.29
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-08-19 00:00:00
researchTeam since,2022-09-30 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-30 00:00:00
cfra since,
marketEdge opinion since,
