,FTDR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.25,-674.43,Valuation,-0.04188722328484795
Price/Sales (TTM),1.16,3.81,Valuation,0.30446194225721784
Price/Book (MRQ),41.14,2.94,Valuation,13.993197278911564
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.4244,0.30350000000000005,Profitability,1.3983525535420096
Operating Profit Margin (TTM),0.05480000000000001,0.047,Profitability,1.1659574468085108
Net Profit Margin (TTM),0.0415,0.024900000000000002,Profitability,1.6666666666666665
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-0.14529999999999998,-8.9082,Gowth rates,0.01631081475494488
EPS Growth (TTM),-0.4083,1.3234000000000001,Gowth rates,-0.3085235000755629
Revenue Growth (MRQ),-0.0062,0.0315,Gowth rates,-0.19682539682539682
Revenue Growth (TTM),0.0479,0.1202,Gowth rates,0.3985024958402662
Return On Equity (TTM),1.2661,0.0073,Effectiveness,173.43835616438355
Return On Assets (TTM),0.061200000000000004,-0.0022,Effectiveness,-27.81818181818182
Return On Investment (TTM),0.09380000000000001,0.005699999999999999,Effectiveness,16.456140350877195
Revenue Per Employee (TTM),798174.0,227358.0,Effectiveness,3.5106484047185496
Total Debt/Total Capital (MRQ),0.9288,0.5721,Financial strength,1.6234923964341896
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.001,Financial strength,0.3
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),9.29,2.57,Financial strength,3.614785992217899
