,AVIR
% Above Low,0.053899999999999997
% Held by Institutions,0.688
52-Wk Range,['4.45 - 9.79']
Annual Dividend $,
Annual Dividend %,
Ask,5.0
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,4.26
Bid Size,200.0
Closing Price,4.69
Day Change $,0.0
Day Change %,0.0
Day High,4.77
Day Low,4.67
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.36
Ex-dividend Date,No dividend
Historical Volatility,0.601
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,389.4M
"P/E Ratio (TTM, GAAP)",13.11
Prev Close,4.69
Short Interest,0.0259
Today's Open,4.7
Volume,120714.0
Volume 10-day Avg,443430.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.5302013422818792
Growth 2yr High Est,0.33333333333333326
Growth 2yr Consensus Est,0.9317673378076062
Growth 5yr Low Est,1.5302013422818792
Growth 5yr High Est,0.33333333333333326
Growth 5yr Consensus Est,0.9317673378076062
Growth 5yr Actual/Est,-1.6209790877030035
Growth 3yr Historic,-1.2287581699346406
Price/Earnings (TTM),13.10642
Price/Sales (TTM),2.03257
Price/Book (MRQ),0.589
Price/Cash Flow (TTM),10.90597
5yr Low,4.45
5yr High,94.17
5yr Avg Return,-0.2457666666666667
Short Int Current Month,1959005.0
Short Int Prev Month,2273795.0
Short Int Pct of Float,0.025863
Days to Cover,2.91933
Float,75.70381
Shares Outstanding,83.28764
Institutions Holding Shares,172.0
FCF Growth 5yr,0.09886437431002008
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",13.11
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1583
Net Profit Margin (TTM),0.1855
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7426
EPS Growth (TTM),0.3141
Revenue Growth (MRQ),
Revenue Growth (TTM),-0.0753
Return On Equity (TTM),0.057300000000000004
Return On Assets (TTM),0.0466
Return On Investment (TTM),0.056900000000000006
Revenue Per Employee (TTM),3257288.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-09-23 00:00:00
cfra since,
theStreet since,
newConstructs since,
researchTeam since,
marketEdge opinion since,
