,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,42.21,94.17,9.79,,,,,
low,24.15,7.37,4.45,,,,,
change,0.5463,-0.7879,-0.49570000000000003,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,764.0,706.0,684.0,176.0,Balance Sheet
Short Term Investments,,,,,,,489.0,Balance Sheet
Cash and Short Term Invs,,,,764.0,706.0,684.0,665.0,Balance Sheet
"Total Receivables, Net",,,,0.0,,,5.0,Balance Sheet
Prepaid Expenses,,,,8.0,8.0,5.0,12.0,Balance Sheet
Total Current Assets,,,,772.0,713.0,689.0,682.0,Balance Sheet
Buildings,,,,0.0,,,,Balance Sheet
Machinery/Equipment,,,,0.0,,,,Balance Sheet
Other Prop./Plant/Equip.,,,,0.0,,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,0.0,,,,Balance Sheet
Accumulated Depreciation,,,,0.0,,,,Balance Sheet
Prop./Plant/Equip. - Net,,,,0.0,4.0,5.0,4.0,Balance Sheet
Other Long Term Assets,,,,0.0,,,,Balance Sheet
Total Assets,,,,773.0,717.0,694.0,687.0,Balance Sheet
Accounts Payable,,,,5.0,4.0,14.0,1.0,Balance Sheet
Accrued Expenses,,,,50.0,22.0,11.0,14.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,,0.0,,,,Balance Sheet
Income Taxes Payable,,,,3.0,3.0,0.0,1.0,Balance Sheet
"Other Curr. Lblts, Total",,,,3.0,3.0,0.0,1.0,Balance Sheet
Total Current Liabilities,,,,57.0,29.0,25.0,16.0,Balance Sheet
Total Long Term Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,,6.0,9.0,9.0,8.0,Balance Sheet
