,AVIR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.11,26.92,Valuation,0.4869985141158989
Price/Sales (TTM),2.03,18.11,Valuation,0.11209276642738818
Price/Book (MRQ),0.59,11.51,Valuation,0.051259774109470024
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),,0.6773,Profitability,
Operating Profit Margin (TTM),0.1583,-0.8239000000000001,Profitability,-0.1921349678359024
Net Profit Margin (TTM),0.1855,-0.8640000000000001,Profitability,-0.21469907407407404
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.084,Dividend,
EPS Growth (MRQ),0.7426,0.0883,Gowth rates,8.409966024915063
EPS Growth (TTM),0.3141,0.5870000000000001,Gowth rates,0.5350936967632026
Revenue Growth (MRQ),,0.0441,Gowth rates,
Revenue Growth (TTM),-0.0753,0.1761,Gowth rates,-0.42759795570698467
Return On Equity (TTM),0.057300000000000004,0.30160000000000003,Effectiveness,0.1899867374005305
Return On Assets (TTM),0.0466,0.092,Effectiveness,0.5065217391304349
Return On Investment (TTM),0.056900000000000006,0.13820000000000002,Effectiveness,0.4117221418234443
Revenue Per Employee (TTM),3257288.0,1425813.0,Effectiveness,2.2845127656992887
Total Debt/Total Capital (MRQ),0.0,0.4169,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0,Financial strength,
Quick Ratio (MRQ),,1.22,Financial strength,
Interest Coverage (MRQ),,26.08,Financial strength,
