,S,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),15.16,9.39,Valuation,1.6144834930777423
Price/Book (MRQ),2.63,12.63,Valuation,0.2082343626286619
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6429,0.7206,Profitability,0.8921731890091591
Operating Profit Margin (TTM),-1.1142,0.2172,Profitability,-5.129834254143646
Net Profit Margin (TTM),-1.0795000000000001,0.1553,Profitability,-6.951062459755313
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.0418,-0.0752,Gowth rates,0.5558510638297872
EPS Growth (TTM),-0.5685,-0.2824,Gowth rates,2.013101983002833
Revenue Growth (MRQ),0.3099,0.15560000000000002,Gowth rates,1.9916452442159382
Revenue Growth (TTM),1.1983,0.1906,Gowth rates,6.286988457502623
Return On Equity (TTM),-0.1889,0.2189,Effectiveness,-0.8629511192325263
Return On Assets (TTM),-0.1539,0.10740000000000001,Effectiveness,-1.4329608938547485
Return On Investment (TTM),-0.1748,0.1387,Effectiveness,-1.2602739726027399
Revenue Per Employee (TTM),252012.0,667721.0,Effectiveness,0.37742110851688054
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
