,S
% Above Low,0.033100000000000004
% Held by Institutions,0.8619
52-Wk Range,['15.43 - 59.54']
Annual Dividend $,
Annual Dividend %,
Ask,15.94
Ask Size,300.0
B/A Ratio,1.6666666666666667
B/A Size,500x300
Beta,
Bid,15.92
Bid Size,500.0
Day Change $,-0.38
Day Change %,-0.0233
Day High,16.24
Day Low,15.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.2
Ex-dividend Date,No dividend
Historical Volatility,0.856
Last (size),1000.0
Last (time),1:31p ET 11/28/22
Market Cap,4.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.32
Price,15.94
Short Interest,0.0516
Today's Open,16.09
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.11764705882352944
Growth 2yr High Est,-0.5285714285714285
Growth 2yr Consensus Est,-0.32310924369747895
Growth 5yr Low Est,-0.11764705882352944
Growth 5yr High Est,-0.5285714285714285
Growth 5yr Consensus Est,-0.32310924369747895
Growth 5yr Actual/Est,-0.3104998202085581
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),15.15982
Price/Book (MRQ),2.63189
Price/Cash Flow (TTM),
5yr Low,15.43
5yr High,78.53
5yr Avg Return,-0.29750000000000004
Short Int Current Month,10410537.0
Short Int Prev Month,12701245.0
Short Int Pct of Float,0.0515955
Days to Cover,2.04061
Float,204.6265
Shares Outstanding,280.9156
Institutions Holding Shares,320.0
FCF Growth 5yr,0.2631916650784576
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6429
Operating Profit Margin (TTM),-1.1142
Net Profit Margin (TTM),-1.0795000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0418
EPS Growth (TTM),-0.5685
Revenue Growth (MRQ),0.3099
Revenue Growth (TTM),1.1983
Return On Equity (TTM),-0.1889
Return On Assets (TTM),-0.1539
Return On Investment (TTM),-0.1748
Revenue Per Employee (TTM),252012.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-09-07 00:00:00
theStreet since,2022-09-07 00:00:00
cfra since,2022-11-21 00:00:00
ford since,2022-07-29 00:00:00
newConstructs since,
marketEdge opinion since,
