,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,78.53,52.29,,,,,
low,39.94,15.43,,,,,
change,0.0976,-0.6926000000000001,,,,,
Date,,,2021-10-31 00:00:00,2022-01-31 00:00:00,2022-04-30 00:00:00,2022-07-31 00:00:00,Balance Sheet
Cash & Equivalents,,,1665.0,1669.0,766.0,269.0,Balance Sheet
Short Term Investments,,,0.0,0.0,851.0,950.0,Balance Sheet
Cash and Short Term Invs,,,1665.0,1670.0,1618.0,1219.0,Balance Sheet
"Total Receivables, Net",,,69.0,101.0,87.0,106.0,Balance Sheet
Prepaid Expenses,,,18.0,19.0,25.0,33.0,Balance Sheet
"Other Curr. Assets, Total",,,20.0,28.0,26.0,31.0,Balance Sheet
Total Current Assets,,,1773.0,1818.0,1756.0,1390.0,Balance Sheet
Buildings,,,8.0,7.0,,,Balance Sheet
Machinery/Equipment,,,22.0,23.0,,,Balance Sheet
Construction in Progress,,,2.0,3.0,,,Balance Sheet
Other Prop./Plant/Equip.,,,26.0,25.0,,,Balance Sheet
Prop./Plant/Equip. - Gross,,,57.0,59.0,,,Balance Sheet
Accumulated Depreciation,,,-9.0,-10.0,,,Balance Sheet
Prop./Plant/Equip. - Net,,,48.0,49.0,55.0,58.0,Balance Sheet
"Goodwill, Net",,,108.0,108.0,108.0,540.0,Balance Sheet
Intangibles - Gross,,,19.0,19.0,19.0,171.0,Balance Sheet
Accum. Intangible Amort.,,,-2.0,-3.0,-4.0,-12.0,Balance Sheet
Intangibles - Net,,,16.0,16.0,15.0,160.0,Balance Sheet
Deferred Charges,,,30.0,41.0,44.0,44.0,Balance Sheet
Restricted Cash - LT,,,,11.0,,64.0,Balance Sheet
Other Long Term Assets,,,5.0,,11.0,8.0,Balance Sheet
Total Assets,,,1981.0,2042.0,1988.0,2265.0,Balance Sheet
Accounts Payable,,,7.0,10.0,14.0,14.0,Balance Sheet
Accrued Expenses,,,58.0,88.0,66.0,74.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,139.0,183.0,196.0,244.0,Balance Sheet
Total Current Liabilities,,,205.0,281.0,277.0,333.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,97.0,110.0,114.0,192.0,Balance Sheet
Total Liabilities,,,302.0,391.0,391.0,525.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,,0.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,0.0,,,,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,2228.0,2272.0,2310.0,2550.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-550.0,-622.0,-712.0,-808.0,Balance Sheet
"Other Equity, Total",,,0.0,0.0,-1.0,-2.0,Balance Sheet
Total Equity,,,1679.0,1651.0,1597.0,1740.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,1981.0,2042.0,1988.0,2265.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,115.0,163.0,191.0,205.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,151.0,108.0,82.0,75.0,Balance Sheet
Ttl Comm. Shares Outs.,,,267.0,270.0,272.0,281.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
