,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,50.77,44.64,,,,,
low,20.2,17.99,,,,,
change,-0.1377,-0.13820000000000002,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,321.0,316.0,292.0,317.0,Balance Sheet
"Total Receivables, Net",,,117.0,166.0,214.0,246.0,Balance Sheet
Prepaid Expenses,,,9.0,10.0,15.0,16.0,Balance Sheet
Total Current Assets,,,447.0,493.0,521.0,580.0,Balance Sheet
Buildings,,,5.0,5.0,5.0,5.0,Balance Sheet
Machinery/Equipment,,,2.0,2.0,2.0,2.0,Balance Sheet
Other Prop./Plant/Equip.,,,11.0,11.0,10.0,10.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,17.0,17.0,17.0,16.0,Balance Sheet
Accumulated Depreciation,,,-3.0,-4.0,-4.0,-4.0,Balance Sheet
Prop./Plant/Equip. - Net,,,14.0,13.0,13.0,12.0,Balance Sheet
"Goodwill, Net",,,128.0,128.0,127.0,127.0,Balance Sheet
Intangibles - Gross,,,10.0,65.0,66.0,66.0,Balance Sheet
Accum. Intangible Amort.,,,-5.0,-6.0,-7.0,-8.0,Balance Sheet
Intangibles - Net,,,60.0,59.0,59.0,58.0,Balance Sheet
Other Long Term Assets,,,5.0,3.0,3.0,4.0,Balance Sheet
Total Assets,,,686.0,723.0,745.0,808.0,Balance Sheet
Accounts Payable,,,3.0,8.0,7.0,5.0,Balance Sheet
Accrued Expenses,,,46.0,39.0,37.0,45.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,1.0,1.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,141.0,172.0,222.0,254.0,Balance Sheet
Total Current Liabilities,,,190.0,220.0,265.0,305.0,Balance Sheet
Total Long Term Debt,,,32.0,32.0,0.0,0.0,Balance Sheet
Total Debt,,,33.0,32.0,0.0,0.0,Balance Sheet
Minority Interest,,,23.0,23.0,22.0,21.0,Balance Sheet
"Other Liabilities, Total",,,14.0,13.0,13.0,12.0,Balance Sheet
Total Liabilities,,,260.0,288.0,300.0,338.0,Balance Sheet
Common Stock,,,1.0,1.0,1.0,1.0,Balance Sheet
Additional Paid-In Capital,,,634.0,660.0,680.0,704.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-208.0,-226.0,-236.0,-234.0,Balance Sheet
Total Equity,,,427.0,435.0,445.0,470.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,686.0,723.0,745.0,808.0,Balance Sheet
Ttl Comm. Shares Outs.,,,108.0,108.0,110.0,114.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,275333.0,313801.0,335536.0,342899.0,Income Statement
"Cost of Revenue, Total",,,250446.0,283459.0,301695.0,309013.0,Income Statement
Selling/Gen/Admin Expense,,,43121.0,40771.0,37926.0,25569.0,Income Statement
Labor & Related Expense,,,,,,11738.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,43121.0,40771.0,37926.0,37307.0,Income Statement
Depreciation/Amortization,,,1113.0,1118.0,1165.0,1153.0,Income Statement
Total Operating Expense,,,294680.0,325348.0,340786.0,347473.0,Income Statement
Total Operating Income,,,-19347.0,-11547.0,-5250.0,-4574.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,285.0,Income Statement
Income Before Tax,,,-19532.0,-11779.0,-5913.0,-4289.0,Income Statement
Income Tax - Total,,,-7643.0,6308.0,5468.0,-4845.0,Income Statement
Income After Tax,,,-11889.0,-18087.0,-11381.0,556.0,Income Statement
Minority Interest,,,-90.0,577.0,906.0,1068.0,Income Statement
Net Inc Before Extra Items,,,-11979.0,-17510.0,-10475.0,1624.0,Income Statement
Total Net Income,,,-11979.0,-17510.0,-10475.0,1624.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-11979.0,-17510.0,-10475.0,1624.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-11979.0,-17510.0,-10475.0,1624.0,Income Statement
Basic/Primary Weighted Average Shares,,,107079.0,108059.0,108686.0,111593.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.11,-0.16,-0.1,0.01,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.11,-0.16,-0.1,0.01,Income Statement
Diluted Weighted Average Shares,,,107079.0,108059.0,108686.0,124846.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.11,-0.16,-0.1,0.01,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.11,-0.16,-0.1,0.01,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,185.0,232.0,663.0,,Income Statement
"Depreciat/Amort, Suppl",,,283.0,306.0,309.0,312.0,Income Statement
Total Special Items,,,,349.0,1149.0,4238.0,Income Statement
Normalzd Income Before Tax,,,-19532.0,-11430.0,-4764.0,-51.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,122.0,402.0,1483.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,-7643.0,6430.0,5870.0,-3362.0,Income Statement
Normalized Income After Tax,,,-11889.0,-17860.0,-10634.0,3311.0,Income Statement
Normalzd Inc Avail to Common,,,-11979.0,-17283.0,-9728.0,4379.0,Income Statement
Basic Normalized EPS,,,-0.11,-0.16,-0.09,0.04,Income Statement
Diluted Normalized EPS,,,-0.11,-0.16,-0.09,0.04,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-190649.0,-18087.0,-29468.0,-28912.0,Cash Flow
Depreciation/Depletion,,,1152.0,306.0,615.0,927.0,Cash Flow
Amortization,,,1312.0,812.0,1668.0,2509.0,Cash Flow
Deferred Taxes,,,-28411.0,6308.0,11542.0,6553.0,Cash Flow
Non-Cash Items,,,253688.0,24919.0,44038.0,58871.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,504.0,,245.0,266.0,Cash Flow
"Cash Interest Pd, Suppl",,,888.0,368.0,647.0,680.0,Cash Flow
Accounts Receivable,,,-14642.0,-48836.0,-96487.0,-128946.0,Cash Flow
Prepaid Expenses,,,-1269.0,-1694.0,-6491.0,1657.0,Cash Flow
Other Assets,,,-9680.0,1679.0,2225.0,-7705.0,Cash Flow
Accrued Expenses,,,13936.0,-601.0,-1263.0,-1750.0,Cash Flow
Payable/Accrued,,,1262.0,-1742.0,-5651.0,1268.0,Cash Flow
Changes in Working Capital,,,17966.0,-19578.0,-26498.0,-21906.0,Cash Flow
Total Cash from Operations,,,55058.0,-5320.0,1897.0,18042.0,Cash Flow
Capital Expenditures,,,-547.0,-34.0,-73.0,-89.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-32228.0,,,,Cash Flow
Total Cash from Investing,,,-32775.0,-34.0,-73.0,-89.0,Cash Flow
Financing Cash Flow Items,,,-12978.0,125.0,125.0,125.0,Cash Flow
"Common Stock, Net",,,223685.0,,0.0,0.0,Cash Flow
Options Exercised,,,3829.0,799.0,2917.0,11491.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,227514.0,799.0,2917.0,11491.0,Cash Flow
Long Term Debt Issued,,,0.0,,,,Cash Flow
Long Term Debt Reduction,,,-875.0,-219.0,-33250.0,-33250.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,-875.0,-219.0,-33250.0,-33250.0,Cash Flow
Total Cash From Financing,,,213661.0,705.0,-30208.0,-21634.0,Cash Flow
Net Change in Cash,,,235944.0,-4649.0,-28384.0,-3681.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,84633.0,320577.0,320577.0,320577.0,Cash Flow
