,PRVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),2.07,1.32,Valuation,1.568181818181818
Price/Book (MRQ),5.55,4.31,Valuation,1.2877030162412995
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.09699999999999999,0.1318,Profitability,0.7359635811836115
Operating Profit Margin (TTM),-0.032100000000000004,0.0458,Profitability,-0.7008733624454149
Net Profit Margin (TTM),-0.0322,0.0242,Profitability,-1.3305785123966942
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),1.135,-0.1478,Gowth rates,-7.679296346414074
EPS Growth (TTM),0.7863,-1.101,Gowth rates,-0.7141689373297003
Revenue Growth (MRQ),0.0219,0.0931,Gowth rates,0.23523093447905477
Revenue Growth (TTM),0.40130000000000005,0.1191,Gowth rates,3.36943744752309
Return On Equity (TTM),-0.08710000000000001,7.2022,Effectiveness,-0.012093526977867874
Return On Assets (TTM),-0.0567,0.0403,Effectiveness,-1.4069478908188584
Return On Investment (TTM),-0.08750000000000001,0.016,Effectiveness,-5.46875
Revenue Per Employee (TTM),1564900.0,1375304.0,Effectiveness,1.137857520955367
Total Debt/Total Capital (MRQ),0.0,0.4855,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,0.0015,Financial strength,-6.666666666666667
Quick Ratio (MRQ),,0.31,Financial strength,
Interest Coverage (MRQ),,9.55,Financial strength,
