,PRVA
% Above Low,0.2802
% Held by Institutions,0.5935
52-Wk Range,['17.99 - 44.64']
Annual Dividend $,
Annual Dividend %,
Ask,23.05
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,
Bid,23.01
Bid Size,200.0
Day Change $,0.11
Day Change %,0.0048
Day High,23.56
Day Low,22.85
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.663
Last (size),100.0
Last (time),11:39a ET 11/28/22
Market Cap,2.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.92
Price,23.03
Short Interest,0.0236
Today's Open,22.98
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-21 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.854922279792746
Growth 1yr High Est,-0.8682634730538922
Growth 1yr Consensus Est,-0.8615928764233192
Growth 2yr Low Est,-0.7846039970392302
Growth 2yr High Est,-1.5932226456178553
Growth 2yr Consensus Est,-1.1889133213285428
Growth 5yr Low Est,-0.7846039970392302
Growth 5yr High Est,-1.5932226456178553
Growth 5yr Consensus Est,-1.1889133213285428
Growth 5yr Actual/Est,-1.0516939890710382
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.06546
Price/Book (MRQ),5.54721
Price/Cash Flow (TTM),
5yr Low,17.99
5yr High,50.77
5yr Avg Return,-0.13795
Short Int Current Month,2448779.0
Short Int Prev Month,2825263.0
Short Int Pct of Float,0.023639399999999998
Days to Cover,2.27126
Float,103.5668
Shares Outstanding,114.2281
Institutions Holding Shares,261.0
FCF Growth 5yr,2.1345849783667252
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.09699999999999999
Operating Profit Margin (TTM),-0.032100000000000004
Net Profit Margin (TTM),-0.0322
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.135
EPS Growth (TTM),0.7863
Revenue Growth (MRQ),0.0219
Revenue Growth (TTM),0.40130000000000005
Return On Equity (TTM),-0.08710000000000001
Return On Assets (TTM),-0.0567
Return On Investment (TTM),-0.08750000000000001
Revenue Per Employee (TTM),1564900.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-12 00:00:00
theStreet since,2022-08-12 00:00:00
ford since,2022-05-20 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
