,COOP
% Below High,0.1399
% Held by Institutions,0.8829
52-Wk Range,['35.81 - 52.34']
Annual Dividend $,
Annual Dividend %,
Ask,48.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,45.03
Bid Size,100.0
Closing Price,45.02
Day Change $,0.77
Day Change %,0.0174
Day High,45.33
Day Low,44.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.39
Ex-dividend Date,No dividend
Historical Volatility,0.42
Last (size),33.0
Last (time),1:00p ET 11/25/22
Market Cap,3.2B
"P/E Ratio (TTM, GAAP)",3.13
Prev Close,44.25
Short Interest,0.0424
Today's Open,44.13
Volume,274081.0
Volume 10-day Avg,489751.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.729665071770335
Growth 1yr High Est,-0.71280276816609
Growth 1yr Consensus Est,-0.7212339199682125
Growth 2yr Low Est,-0.05509802261083108
Growth 2yr High Est,0.20584761190089063
Growth 2yr Consensus Est,0.07537479464502977
Growth 5yr Low Est,-0.05303842387176375
Growth 5yr High Est,0.1253667060429371
Growth 5yr Consensus Est,0.03616414108558667
Growth 5yr Actual/Est,0.4132935988444628
Growth 3yr Historic,0.3492213254518587
Price/Earnings (TTM),3.12898
Price/Sales (TTM),1.14028
Price/Book (MRQ),0.77318
Price/Cash Flow (TTM),2.8039
5yr Low,4.31
5yr High,52.34
5yr Avg Return,0.3797499999999999
EPS Growth 5yr,0.3549609
Revenue Growth 5yr,2.612109
Dividend Growth 5yr,
Short Int Current Month,2927794.0
Short Int Prev Month,3386460.0
Short Int Pct of Float,0.0423967
Days to Cover,4.34299
Float,69.05709
Shares Outstanding,70.56473
Institutions Holding Shares,347.0
FCF Growth 5yr,0.4534536346249749
"Price/Earnings (TTM, GAAP)",3.13
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5908
Net Profit Margin (TTM),0.392
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2368
EPS Growth (TTM),-0.12050000000000001
Revenue Growth (MRQ),-0.1486
Revenue Growth (TTM),-0.23399999999999999
Return On Equity (TTM),0.2968
Return On Assets (TTM),0.0633
Return On Investment (TTM),0.0766
Revenue Per Employee (TTM),339756.0
Total Debt/Total Capital (MRQ),0.6406000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.57
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
theStreet since,2022-05-05 00:00:00
newConstructs since,
marketEdge opinion since,
