,ENVX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,35.65,Valuation,
Price/Sales (TTM),388.69,12.92,Valuation,30.0843653250774
Price/Book (MRQ),5.54,9.0,Valuation,0.6155555555555555
"PEG Ratio (TTM, GAAP)",,0.29,Valuation,
Gross Profit Margin (TTM),-1.4208,0.2968,Profitability,-4.787061994609164
Operating Profit Margin (TTM),-21.8413,-0.5081,Profitability,42.986223184412516
Net Profit Margin (TTM),-24.468400000000003,-0.706,Profitability,34.65779036827196
Annual Dividend Yield,,0.0123,Dividend,
Dividend Change %,,0.0305,Dividend,
"Dividend Growth Rate, 3 Years",,0.0396,Dividend,
EPS Growth (MRQ),-70.8911,0.5871000000000001,Gowth rates,-120.74791347300287
EPS Growth (TTM),-1.0375,-1.2397,Gowth rates,0.836896023231427
Revenue Growth (MRQ),-0.9984000000000001,0.28940000000000005,Gowth rates,-3.4498963372494815
Revenue Growth (TTM),,0.22710000000000002,Gowth rates,
Return On Equity (TTM),-0.3666,0.10210000000000001,Effectiveness,-3.590597453476983
Return On Assets (TTM),-0.2832,0.0479,Effectiveness,-5.91231732776618
Return On Investment (TTM),-0.2942,0.0575,Effectiveness,-5.116521739130435
Revenue Per Employee (TTM),23763.0,348568.0,Effectiveness,0.06817321153978563
Total Debt/Total Capital (MRQ),0.0,0.3799,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0017000000000000001,Financial strength,
Quick Ratio (MRQ),20.26,1.37,Financial strength,14.788321167883211
Interest Coverage (MRQ),,9.61,Financial strength,
