,CHGG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",14.49,-674.43,Valuation,-0.021484809394599885
Price/Sales (TTM),4.66,3.81,Valuation,1.2230971128608925
Price/Book (MRQ),3.42,2.94,Valuation,1.163265306122449
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.7378,0.30350000000000005,Profitability,2.4309719934102136
Operating Profit Margin (TTM),0.1573,0.047,Profitability,3.3468085106382977
Net Profit Margin (TTM),0.37579999999999997,0.024900000000000002,Profitability,15.092369477911644
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),28.256700000000002,-8.9082,Gowth rates,-3.171987606923958
EPS Growth (TTM),46.6286,1.3234000000000001,Gowth rates,35.23394287441438
Revenue Growth (MRQ),-0.154,0.0315,Gowth rates,-4.888888888888888
Revenue Growth (TTM),-0.0069,0.1202,Gowth rates,-0.05740432612312812
Return On Equity (TTM),0.2408,0.0073,Effectiveness,32.986301369863014
Return On Assets (TTM),0.1035,-0.0022,Effectiveness,-47.04545454545454
Return On Investment (TTM),0.10890000000000001,0.005699999999999999,Effectiveness,19.10526315789474
Revenue Per Employee (TTM),476857.0,227358.0,Effectiveness,2.097383861575137
Total Debt/Total Capital (MRQ),0.5316,0.5721,Financial strength,0.9292081803880439
Change in Debt/Total Capital Quarter over Quarter,-0.0006,0.001,Financial strength,-0.6
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),,2.57,Financial strength,
