,CHGG
% Below High,0.2412
% Held by Institutions,0.9408
52-Wk Range,['15.66 - 37.64']
Annual Dividend $,
Annual Dividend %,
Ask,29.49
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,27.4
Bid Size,100.0
Closing Price,28.56
Day Change $,0.0
Day Change %,0.0
Day High,28.94
Day Low,28.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.97
Ex-dividend Date,No dividend
Historical Volatility,0.742
Last (size),1000.0
Last (time),5:00p ET 11/25/22
Market Cap,3.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.49
Prev Close,28.56
Short Interest,0.0381
Today's Open,28.44
Volume,375164.0
Volume 10-day Avg,1231871.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.07438016528925606
Growth 2yr High Est,-0.5115511551155115
Growth 2yr Consensus Est,-0.2929656602023838
Growth 5yr Low Est,-0.07438016528925606
Growth 5yr High Est,-0.5115511551155115
Growth 5yr Consensus Est,-0.2929656602023838
Growth 5yr Actual/Est,0.11991280133027182
Growth 3yr Historic,0.10880350992291293
Price/Earnings (TTM),14.49231
Price/Sales (TTM),4.65908
Price/Book (MRQ),3.42283
Price/Cash Flow (TTM),9.35875
5yr Low,13.83
5yr High,115.21
5yr Avg Return,0.30228333333333324
EPS Growth 5yr,
Revenue Growth 5yr,0.2502719
Dividend Growth 5yr,
Short Int Current Month,4683343.0
Short Int Prev Month,5390538.0
Short Int Pct of Float,0.0381479
Days to Cover,1.73733
Float,122.7679
Shares Outstanding,125.4773
Institutions Holding Shares,377.0
FCF Growth 5yr,0.07949681196925491
"Price/Earnings (TTM, GAAP)",14.49
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7378
Operating Profit Margin (TTM),0.1573
Net Profit Margin (TTM),0.37579999999999997
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),28.256700000000002
EPS Growth (TTM),46.6286
Revenue Growth (MRQ),-0.154
Revenue Growth (TTM),-0.0069
Return On Equity (TTM),0.2408
Return On Assets (TTM),0.1035
Return On Investment (TTM),0.10890000000000001
Revenue Per Employee (TTM),476857.0
Total Debt/Total Capital (MRQ),0.5316
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-23 00:00:00
ford since,2022-03-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-23 00:00:00
