,PODD
% Below High,0.0911
% Held by Institutions,1.0206
52-Wk Range,['181.00 - 320.00']
Annual Dividend $,
Annual Dividend %,
Ask,291.06
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,290.47
Bid Size,100.0
Day Change $,-2.84
Day Change %,-0.0097
Day High,294.6
Day Low,290.3
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.22
Ex-dividend Date,No dividend
Historical Volatility,0.5670000000000001
Last (size),2.0
Last (time),11:11a ET 11/28/22
Market Cap,20.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",1331.61
Prev Close,293.7
Price,290.86
Short Interest,0.032799999999999996
Today's Open,292.5
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-4.142857142857142
Growth 2yr High Est,1.0377358490566038
Growth 2yr Consensus Est,-1.5525606469002693
Growth 5yr Low Est,-4.142857142857142
Growth 5yr High Est,1.0377358490566038
Growth 5yr Consensus Est,-1.5525606469002693
Growth 5yr Actual/Est,2.3461622807017544
Growth 3yr Historic,0.23157894736842102
Price/Earnings (TTM),1331.61
Price/Sales (TTM),16.4056
Price/Book (MRQ),47.6447
Price/Cash Flow (TTM),259.1751
5yr Low,67.43
5yr High,324.81
5yr Avg Return,0.32295
EPS Growth 5yr,
Revenue Growth 5yr,0.2452402
Dividend Growth 5yr,
Short Int Current Month,2265919.0
Short Int Prev Month,2665049.0
Short Int Pct of Float,0.0327922
Days to Cover,2.63811
Float,69.12982
Shares Outstanding,69.4487
Institutions Holding Shares,694.0
FCF Growth 5yr,-0.6762273884915394
"Price/Earnings (TTM, GAAP)",1331.61
"PEG Ratio (TTM, GAAP)",10.59
Gross Profit Margin (TTM),0.6447
Operating Profit Margin (TTM),0.0507
Net Profit Margin (TTM),0.013500000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8516
EPS Growth (TTM),1.4867
Revenue Growth (MRQ),0.1383
Revenue Growth (TTM),0.19870000000000002
Return On Equity (TTM),0.0363
Return On Assets (TTM),0.008100000000000001
Return On Investment (TTM),0.009300000000000001
Revenue Per Employee (TTM),540565.0
Total Debt/Total Capital (MRQ),0.7667
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),3.0
Interest Coverage (MRQ),0.34
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2019-09-27 00:00:00
theStreet since,2021-06-01 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-12-11 00:00:00
ford since,2022-11-25 00:00:00
marketEdge opinion since,
