,PODD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",1331.61,61.36,Valuation,21.701597131681876
Price/Sales (TTM),16.41,9.8,Valuation,1.6744897959183673
Price/Book (MRQ),47.64,10.31,Valuation,4.620756547041707
"PEG Ratio (TTM, GAAP)",10.59,3.02,Valuation,3.506622516556291
Gross Profit Margin (TTM),0.6447,0.6196,Profitability,1.040510006455778
Operating Profit Margin (TTM),0.0507,0.047,Profitability,1.078723404255319
Net Profit Margin (TTM),0.013500000000000002,0.009300000000000001,Profitability,1.4516129032258065
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),0.8516,-0.4858,Gowth rates,-1.7529847673939893
EPS Growth (TTM),1.4867,-0.2029,Gowth rates,-7.327254805322819
Revenue Growth (MRQ),0.1383,0.1161,Gowth rates,1.1912144702842378
Revenue Growth (TTM),0.19870000000000002,0.18300000000000002,Gowth rates,1.0857923497267759
Return On Equity (TTM),0.0363,0.1068,Effectiveness,0.3398876404494382
Return On Assets (TTM),0.008100000000000001,0.0622,Effectiveness,0.13022508038585212
Return On Investment (TTM),0.009300000000000001,0.0732,Effectiveness,0.12704918032786885
Revenue Per Employee (TTM),540565.0,403586.0,Effectiveness,1.3394047365369464
Total Debt/Total Capital (MRQ),0.7667,0.3161,Financial strength,2.42549826004429
Change in Debt/Total Capital Quarter over Quarter,0.0001,0.0125,Financial strength,0.008
Quick Ratio (MRQ),3.0,2.25,Financial strength,1.3333333333333333
Interest Coverage (MRQ),0.34,14.99,Financial strength,0.02268178785857238
