,GPK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.42,14.62,Valuation,1.1915184678522575
Price/Sales (TTM),0.77,1.05,Valuation,0.7333333333333333
Price/Book (MRQ),3.58,5.55,Valuation,0.6450450450450451
"PEG Ratio (TTM, GAAP)",0.6,0.41,Valuation,1.4634146341463414
Gross Profit Margin (TTM),0.18059999999999998,0.2208,Profitability,0.8179347826086956
Operating Profit Margin (TTM),0.0797,0.09230000000000001,Profitability,0.8634886240520042
Net Profit Margin (TTM),0.044800000000000006,0.0636,Profitability,0.7044025157232705
Annual Dividend Yield,0.0176,0.0259,Dividend,0.6795366795366796
Dividend Change %,0.0,0.0837,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.037700000000000004,Dividend,0.0
EPS Growth (MRQ),1.9271,0.5963,Gowth rates,3.2317625356364243
EPS Growth (TTM),0.6409,0.35340000000000005,Gowth rates,1.813525749858517
Revenue Growth (MRQ),0.0394,0.1054,Gowth rates,0.3738140417457306
Revenue Growth (TTM),0.3258,0.1638,Gowth rates,1.9890109890109888
Return On Equity (TTM),0.2126,0.3788,Effectiveness,0.561246040126716
Return On Assets (TTM),0.043899999999999995,0.0592,Effectiveness,0.741554054054054
Return On Investment (TTM),0.0542,0.0793,Effectiveness,0.6834804539722573
Revenue Per Employee (TTM),361680.0,433957.0,Effectiveness,0.8334466318091424
Total Debt/Total Capital (MRQ),0.7373000000000001,0.6087,Financial strength,1.2112699195005752
Change in Debt/Total Capital Quarter over Quarter,0.0008,-0.0001,Financial strength,-8.0
Quick Ratio (MRQ),0.53,0.9,Financial strength,0.5888888888888889
Interest Coverage (MRQ),5.7,9.25,Financial strength,0.6162162162162163
