,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,95.96,107.75,115.2,106.84,141.29,185.0,,,,,
low,89.47,85.8,87.26,49.68,93.62,115.63,,,,,
change,0.061900000000000004,0.005,0.11720000000000001,-0.0579,0.387,0.3221,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,715.0,611.0,519.0,629.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,1842.0,2187.0,2293.0,2262.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-44.0,-50.0,-57.0,-47.0,Balance Sheet
"Total Receivables, Net",,,,,,,1798.0,2138.0,2235.0,2215.0,Balance Sheet
Total Inventory,,,,,,,3890.0,4211.0,4296.0,4301.0,Balance Sheet
Prepaid Expenses,,,,,,,1354.0,1467.0,1475.0,1678.0,Balance Sheet
Total Current Assets,,,,,,,7756.0,8427.0,8526.0,8823.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,2574.0,2626.0,2607.0,2611.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,2574.0,2626.0,2607.0,2611.0,Balance Sheet
Accumulated Depreciation,,,,,,,-1340.0,-1387.0,-1370.0,-1370.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,2288.0,2365.0,2304.0,2315.0,Balance Sheet
"Goodwill, Net",,,,,,,1915.0,2535.0,2538.0,2461.0,Balance Sheet
Intangibles - Net,,,,,,,1406.0,1935.0,1853.0,1748.0,Balance Sheet
Other Long Term Assets,,,,,,,985.0,1011.0,1016.0,1029.0,Balance Sheet
Total Assets,,,,,,,14352.0,16273.0,16238.0,16377.0,Balance Sheet
Accounts Payable,,,,,,,4805.0,5215.0,5410.0,5531.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,0.0,120.0,14.0,2.0,Balance Sheet
Dividends Payable,,,,,,,116.0,127.0,127.0,126.0,Balance Sheet
Other Current Liabilities,,,,,,,1661.0,1788.0,1743.0,1836.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,1777.0,1915.0,1870.0,1962.0,Balance Sheet
Total Current Liabilities,,,,,,,6582.0,7250.0,7294.0,7495.0,Balance Sheet
Total Long Term Debt,,,,,,,2409.0,3388.0,3304.0,3232.0,Balance Sheet
Total Debt,,,,,,,2409.0,3508.0,3318.0,3233.0,Balance Sheet
Deferred Income Tax,,,,,,,281.0,401.0,408.0,399.0,Balance Sheet
Minority Interest,,,,,,,13.0,12.0,13.0,14.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,265.0,263.0,263.0,263.0,Balance Sheet
Other LT Liabilities,,,,,,,1312.0,1364.0,1315.0,1310.0,Balance Sheet
"Other Liabilities, Total",,,,,,,1577.0,1627.0,1579.0,1573.0,Balance Sheet
Total Liabilities,,,,,,,10861.0,12678.0,12598.0,12713.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,142.0,142.0,141.0,141.0,Balance Sheet
Additional Paid-In Capital,,,,,,,120.0,126.0,123.0,132.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,4086.0,4133.0,4329.0,4466.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,-379.0,-337.0,-496.0,-628.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-463.0,-456.0,-449.0,-442.0,Balance Sheet
Other Comprehensive Income,,,,,,,-15.0,-11.0,-8.0,-4.0,Balance Sheet
"Other Equity, Total",,,,,,,-858.0,-805.0,-953.0,-1074.0,Balance Sheet
Total Equity,,,,,,,3491.0,3596.0,3641.0,3664.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,14352.0,16273.0,16238.0,16377.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,142.0,142.0,141.0,141.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,4803.0,5295.0,5602.0,5675.0,Income Statement
"Cost of Revenue, Total",,,,,,,3110.0,3469.0,3642.0,3696.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,1283.0,1408.0,1367.0,1465.0,Income Statement
Depreciation/Amortization,,,,,,,73.0,87.0,86.0,87.0,Income Statement
Restructuring Charge,,,,,,,0.0,,,,Income Statement
Impair-Assets Held for Use,,,,,,,0.0,,,,Income Statement
Other Unusual Expnse (In),,,,,,,0.0,,,,Income Statement
Unusual Expense (Income),,,,,,,0.0,,,,Income Statement
Total Operating Expense,,,,,,,4465.0,4965.0,5094.0,5247.0,Income Statement
Total Operating Income,,,,,,,338.0,330.0,508.0,429.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-12.0,-20.0,-20.0,-18.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,20.0,15.0,4.0,8.0,Income Statement
"Other, Net",,,,,,,20.0,15.0,4.0,8.0,Income Statement
Income Before Tax,,,,,,,346.0,326.0,492.0,418.0,Income Statement
Income Tax - Total,,,,,,,90.0,80.0,119.0,106.0,Income Statement
Income After Tax,,,,,,,256.0,246.0,373.0,312.0,Income Statement
Net Inc Before Extra Items,,,,,,,256.0,246.0,373.0,312.0,Income Statement
Total Extraordinary Items,,,,,,,0.0,,,,Income Statement
Total Net Income,,,,,,,256.0,246.0,373.0,312.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,256.0,246.0,373.0,312.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,256.0,246.0,373.0,312.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,142.0,142.0,142.0,141.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.8,1.73,2.63,2.21,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.8,1.73,2.63,2.21,Income Statement
Diluted Weighted Average Shares,,,,,,,143.0,143.0,142.0,142.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,1.79,1.72,2.62,2.2,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,1.79,1.72,2.62,2.2,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.82,0.9,0.9,0.9,Income Statement
Gross Divid - Common Stock,,,,,,,116.0,127.0,127.0,126.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,12.0,20.0,20.0,18.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,48.0,48.0,46.0,47.0,Income Statement
Total Special Items,,,,,,,4.0,26.0,-77.0,3.0,Income Statement
Normalzd Income Before Tax,,,,,,,350.0,352.0,415.0,421.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,11.0,6.0,-19.0,1.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,101.0,86.0,100.0,106.0,Income Statement
Normalized Income After Tax,,,,,,,249.0,265.0,314.0,315.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,249.0,265.0,314.0,315.0,Income Statement
Basic Normalized EPS,,,,,,,1.75,1.87,2.22,2.23,Income Statement
Diluted Normalized EPS,,,,,,,1.74,1.86,2.21,2.22,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,899.0,246.0,618.0,931.0,Cash Flow
Depreciation/Depletion,,,,,,,291.0,87.0,173.0,260.0,Cash Flow
Deferred Taxes,,,,,,,32.0,,,,Cash Flow
Discontinued Operations,,,,,,,0.0,,,,Cash Flow
Unusual Items,,,,,,,61.0,,-86.0,-85.0,Cash Flow
Equity in Net Earnings/Loss,,,,,,,-10.0,,,,Cash Flow
Other Non-Cash Items,,,,,,,-3.0,6.0,15.0,24.0,Cash Flow
Non-Cash Items,,,,,,,48.0,6.0,-71.0,-61.0,Cash Flow
Accounts Receivable,,,,,,,-259.0,,,,Cash Flow
Inventories,,,,,,,-329.0,,,,Cash Flow
Accounts Payable,,,,,,,777.0,,,,Cash Flow
Changes in Working Capital,,,,,,,-11.0,59.0,70.0,115.0,Cash Flow
Total Cash from Operations,,,,,,,1258.0,399.0,791.0,1245.0,Cash Flow
Capital Expenditures,,,,,,,-266.0,-78.0,-153.0,-244.0,Cash Flow
Acquisition of Business,,,,,,,-284.0,-1375.0,-1557.0,-1587.0,Cash Flow
Sale of Business,,,,,,,18.0,26.0,26.0,33.0,Cash Flow
Sale of Fixed Assets,,,,,,,27.0,6.0,141.0,141.0,Cash Flow
Other Investing Cash Flow,,,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,-240.0,-1343.0,-1390.0,-1413.0,Cash Flow
Total Cash from Investing,,,,,,,-506.0,-1421.0,-1543.0,-1657.0,Cash Flow
Financing Cash Flow Items,,,,,,,-7.0,-2.0,-14.0,-17.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-466.0,-116.0,-243.0,-369.0,Cash Flow
"Common Stock, Net",,,,,,,-334.0,-73.0,-123.0,-173.0,Cash Flow
Options Exercised,,,,,,,-22.0,-1.0,-14.0,-15.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,-356.0,-74.0,-137.0,-188.0,Cash Flow
Long Term Debt Issued,,,,,,,893.0,2890.0,3851.0,4548.0,Cash Flow
Long Term Debt Reduction,,,,,,,-1053.0,-1785.0,-2872.0,-3587.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,-161.0,1105.0,979.0,961.0,Cash Flow
Total Cash From Financing,,,,,,,-990.0,914.0,585.0,386.0,Cash Flow
Foreign Exchange Effects,,,,,,,-38.0,4.0,-28.0,-59.0,Cash Flow
Net Change in Cash,,,,,,,-275.0,-104.0,-196.0,-86.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,990.0,715.0,715.0,715.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,715.0,611.0,519.0,629.0,Cash Flow
"Depreciation, Supplemental",,,,,,,291.0,87.0,173.0,260.0,Cash Flow
Free Cash Flow,,,,,,,992.0,321.0,638.0,1001.0,
FCF Growth,,,,,,,,-0.6764112903225806,0.9875389408099688,0.5689655172413792,
