,GPC
% Below High,0.0001
% Held by Institutions,0.7787000000000001
52-Wk Range,['115.63 - 186.11']
Annual Dividend $,3.58
Annual Dividend %,0.0192
Ask,186.72
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.0
Bid,140.0
Bid Size,200.0
Closing Price,186.1
Day Change $,2.18
Day Change %,0.011899999999999999
Day High,186.11
Day Low,183.97
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",8.33
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.252
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,26.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.35
Prev Close,183.92
Short Interest,0.0231
Today's Open,184.52
Volume,404365.0
Volume 10-day Avg,817490.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.21987951807228923
Growth 1yr High Est,0.21407624633431066
Growth 1yr Consensus Est,0.21697788220329994
Growth 2yr Low Est,0.12228543804849035
Growth 2yr High Est,0.15836662558261438
Growth 2yr Consensus Est,0.14032603181555237
Growth 5yr Low Est,0.11493860031681227
Growth 5yr High Est,0.134494345655157
Growth 5yr Consensus Est,0.12471647298598464
Growth 5yr Actual/Est,0.11808943624306384
Growth 3yr Historic,0.059345434415049525
Price/Earnings (TTM),22.34928
Price/Sales (TTM),1.22725
Price/Book (MRQ),7.15879
Price/Cash Flow (TTM),17.26834
5yr Low,49.68
5yr High,185.0
5yr Avg Return,0.13921666666666666
EPS Growth 5yr,0.0631854
Revenue Growth 5yr,0.0423013
Dividend Growth 5yr,0.0472912
Short Int Current Month,3191419.0
Short Int Prev Month,3167554.0
Short Int Pct of Float,0.0231332
Days to Cover,3.60449
Float,137.977
Shares Outstanding,140.962
Institutions Holding Shares,1365.0
FCF Growth 5yr,0.29336438924292246
"Price/Earnings (TTM, GAAP)",22.35
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.349
Operating Profit Margin (TTM),0.0751
Net Profit Margin (TTM),0.0555
Annual Dividend Yield,0.0192
Dividend Change %,0.0316
"Dividend Growth Rate, 3 Years",0.0422
EPS Growth (MRQ),-0.1604
EPS Growth (TTM),0.4777
Revenue Growth (MRQ),0.013000000000000001
Revenue Growth (TTM),0.16690000000000002
Return On Equity (TTM),0.34659999999999996
Return On Assets (TTM),0.0782
Return On Investment (TTM),0.1457
Revenue Per Employee (TTM),411068.0
Total Debt/Total Capital (MRQ),0.4678
Change in Debt/Total Capital Quarter over Quarter,0.0013000000000000002
Quick Ratio (MRQ),0.6
Interest Coverage (MRQ),23.71
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-04-27 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-02-17 00:00:00
ford since,2022-10-21 00:00:00
marketEdge opinion since,
