,RAPT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),275.12,45.03,Valuation,6.109704641350211
Price/Book (MRQ),2.87,12.61,Valuation,0.22759714512291834
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-34.7779,-4.7459,Profitability,7.3279883689079
Net Profit Margin (TTM),-34.523,-4.5467,Profitability,7.592979523610531
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.0233,-0.0014000000000000002,Gowth rates,16.642857142857142
EPS Growth (TTM),-0.0409,0.027200000000000002,Gowth rates,-1.503676470588235
Revenue Growth (MRQ),-1.0,1.3963999999999999,Gowth rates,-0.7161271841879119
Revenue Growth (TTM),-0.47630000000000006,0.9747,Gowth rates,-0.48866317841387097
Return On Equity (TTM),-0.40299999999999997,0.1967,Effectiveness,-2.0488052872394507
Return On Assets (TTM),-0.36920000000000003,0.0016,Effectiveness,-230.75
Return On Investment (TTM),-0.3937,0.0219,Effectiveness,-17.97716894977169
Revenue Per Employee (TTM),28185.0,1476201.0,Effectiveness,0.019092928402026553
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
