,RAPT
% Above Low,0.7905
% Held by Institutions,0.8637
52-Wk Range,['9.86 - 40.74']
Annual Dividend $,
Annual Dividend %,
Ask,17.69
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,17.6
Bid Size,100.0
Day Change $,-0.535
Day Change %,-0.0294
Day High,18.03
Day Low,17.58
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.54
Ex-dividend Date,No dividend
Historical Volatility,0.918
Last (size),100.0
Last (time),12:18p ET 11/28/22
Market Cap,597.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,18.18
Price,17.65
Short Interest,0.0864
Today's Open,17.87
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-09 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.007575757575757569
Growth 1yr High Est,0.01976284584980248
Growth 1yr Consensus Est,0.013669301712780024
Growth 2yr Low Est,0.18987810435178853
Growth 2yr High Est,-0.0889557863774244
Growth 2yr Consensus Est,0.050461158987182064
Growth 5yr Low Est,0.16456008644549613
Growth 5yr High Est,-0.002205092152850918
Growth 5yr Consensus Est,0.08117749714632261
Growth 5yr Actual/Est,-0.09550991592218572
Growth 3yr Historic,-0.1549757156385662
Price/Earnings (TTM),
Price/Sales (TTM),275.1154
Price/Book (MRQ),2.87012
Price/Cash Flow (TTM),
5yr Low,9.86
5yr High,51.21
5yr Avg Return,0.32260000000000005
Short Int Current Month,2773875.0
Short Int Prev Month,3059022.0
Short Int Pct of Float,0.0863954
Days to Cover,8.13966
Float,33.82437
Shares Outstanding,34.54832
Institutions Holding Shares,158.0
FCF Growth 5yr,0.267971644024704
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-34.7779
Net Profit Margin (TTM),-34.523
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0233
EPS Growth (TTM),-0.0409
Revenue Growth (MRQ),-1.0
Revenue Growth (TTM),-0.47630000000000006
Return On Equity (TTM),-0.40299999999999997
Return On Assets (TTM),-0.36920000000000003
Return On Investment (TTM),-0.3937
Revenue Per Employee (TTM),28185.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-06-08 00:00:00
theStreet since,2021-06-08 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
