,VRTX
% Below High,0.025699999999999997
% Held by Institutions,0.9372
52-Wk Range,['185.46 - 323.61']
Annual Dividend $,
Annual Dividend %,
Ask,318.89
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,0.4
Bid,314.71
Bid Size,600.0
Closing Price,315.3
Day Change $,2.32
Day Change %,0.0074
Day High,320.93
Day Low,313.51
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",12.67
Ex-dividend Date,No dividend
Historical Volatility,0.324
Last (size),11.0
Last (time),3:59p ET 11/28/22
Market Cap,80.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.7
Prev Close,312.98
Short Interest,0.0118
Today's Open,313.78
Volume,1113488.0
Volume 10-day Avg,1223776.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,0.12145748987854255
Growth 1yr High Est,0.1574212893553224
Growth 1yr Consensus Est,0.13943938961693247
Growth 2yr Low Est,0.09574679548078757
Growth 2yr High Est,0.1719748933823244
Growth 2yr Consensus Est,0.133860844431556
Growth 5yr Low Est,0.14506651085090438
Growth 5yr High Est,0.18814794660986922
Growth 5yr Consensus Est,0.1666072287303868
Growth 5yr Actual/Est,0.3508940314207344
Growth 3yr Historic,0.2994595095772067
Price/Earnings (TTM),24.70122
Price/Sales (TTM),9.23381
Price/Book (MRQ),6.16481
Price/Cash Flow (TTM),23.51204
5yr Low,136.5
5yr High,323.61
5yr Avg Return,0.1537
EPS Growth 5yr,
Revenue Growth 5yr,0.34793419999999997
Dividend Growth 5yr,
Short Int Current Month,3032365.0
Short Int Prev Month,2836024.0
Short Int Pct of Float,0.0118345
Days to Cover,2.11013
Float,256.2058
Shares Outstanding,256.6914
Institutions Holding Shares,1649.0
FCF Growth 5yr,0.3482245798508709
"Price/Earnings (TTM, GAAP)",24.7
"PEG Ratio (TTM, GAAP)",2.64
Gross Profit Margin (TTM),0.88
Operating Profit Margin (TTM),0.4772
Net Profit Margin (TTM),0.3762
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1445
EPS Growth (TTM),0.5191
Revenue Growth (MRQ),0.0629
Revenue Growth (TTM),0.22030000000000002
Return On Equity (TTM),0.2902
Return On Assets (TTM),0.2232
Return On Investment (TTM),0.264
Revenue Per Employee (TTM),2230913.0
Total Debt/Total Capital (MRQ),0.032799999999999996
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996
Quick Ratio (MRQ),4.55
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2021-12-17 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-10-10 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
