,VRTX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",24.7,471.78,Valuation,0.05235491118741786
Price/Sales (TTM),9.23,45.03,Valuation,0.20497446147013104
Price/Book (MRQ),6.16,12.61,Valuation,0.4885011895321174
"PEG Ratio (TTM, GAAP)",2.64,173.15,Valuation,0.015246895755125615
Gross Profit Margin (TTM),0.88,0.5874,Profitability,1.49812734082397
Operating Profit Margin (TTM),0.4772,-4.7459,Profitability,-0.1005499483764934
Net Profit Margin (TTM),0.3762,-4.5467,Profitability,-0.08274132887588799
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1445,-0.0014000000000000002,Gowth rates,-103.2142857142857
EPS Growth (TTM),0.5191,0.027200000000000002,Gowth rates,19.08455882352941
Revenue Growth (MRQ),0.0629,1.3963999999999999,Gowth rates,0.04504439988541965
Revenue Growth (TTM),0.22030000000000002,0.9747,Gowth rates,0.2260182620293424
Return On Equity (TTM),0.2902,0.1967,Effectiveness,1.4753431621759023
Return On Assets (TTM),0.2232,0.0016,Effectiveness,139.5
Return On Investment (TTM),0.264,0.0219,Effectiveness,12.054794520547945
Revenue Per Employee (TTM),2230913.0,1476201.0,Effectiveness,1.51125287139082
Total Debt/Total Capital (MRQ),0.032799999999999996,0.4675,Financial strength,0.07016042780748662
Change in Debt/Total Capital Quarter over Quarter,-0.0034999999999999996,0.0036,Financial strength,-0.9722222222222221
Quick Ratio (MRQ),4.55,2.06,Financial strength,2.2087378640776696
Interest Coverage (MRQ),,2.69,Financial strength,
