,CSTL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.13,Valuation,
Price/Sales (TTM),4.53,1.32,Valuation,3.4318181818181817
Price/Book (MRQ),1.36,4.31,Valuation,0.3155452436194896
"PEG Ratio (TTM, GAAP)",,0.26,Valuation,
Gross Profit Margin (TTM),0.7811,0.1318,Profitability,5.926403641881639
Operating Profit Margin (TTM),-0.5269,0.0458,Profitability,-11.504366812227074
Net Profit Margin (TTM),-0.4279,0.0242,Profitability,-17.681818181818183
Annual Dividend Yield,,0.0108,Dividend,
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),-11.169200000000002,-0.1478,Gowth rates,75.56968876860624
EPS Growth (TTM),-0.6803,-1.101,Gowth rates,0.6178928247048139
Revenue Growth (MRQ),0.062400000000000004,0.0931,Gowth rates,0.6702470461868958
Revenue Growth (TTM),0.43310000000000004,0.1191,Gowth rates,3.6364399664147777
Return On Equity (TTM),-0.12869999999999998,7.2022,Effectiveness,-0.01786953986281969
Return On Assets (TTM),-0.11880000000000002,0.0403,Effectiveness,-2.947890818858561
Return On Investment (TTM),-0.12630000000000002,0.016,Effectiveness,-7.893750000000002
Revenue Per Employee (TTM),361813.0,1375304.0,Effectiveness,0.26307856299407256
Total Debt/Total Capital (MRQ),0.0003,0.4855,Financial strength,0.0006179196704428424
Change in Debt/Total Capital Quarter over Quarter,-0.0088,0.0015,Financial strength,-5.866666666666667
Quick Ratio (MRQ),9.25,0.31,Financial strength,29.838709677419356
Interest Coverage (MRQ),,9.55,Financial strength,
