,CSTL
% Above Low,0.3652
% Held by Institutions,0.8268000000000001
52-Wk Range,['15.58 - 48.40']
Annual Dividend $,
Annual Dividend %,
Ask,24.0
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.0
Bid,20.3
Bid Size,100.0
Closing Price,21.27
Day Change $,0.2
Day Change %,0.0095
Day High,21.32
Day Low,20.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.06
Ex-dividend Date,No dividend
Historical Volatility,0.85
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,560.5M
"P/E Ratio (TTM, GAAP)",
Prev Close,21.07
Short Interest,0.0424
Today's Open,20.92
Volume,40954.0
Volume 10-day Avg,218210.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.017595307917888547
Growth 2yr High Est,-0.10424710424710426
Growth 2yr Consensus Est,-0.04332589816460786
Growth 5yr Low Est,0.017595307917888547
Growth 5yr High Est,-0.10424710424710426
Growth 5yr Consensus Est,-0.04332589816460786
Growth 5yr Actual/Est,1.0394235644706566
Growth 3yr Historic,0.716931216931217
Price/Earnings (TTM),
Price/Sales (TTM),4.52964
Price/Book (MRQ),1.36225
Price/Cash Flow (TTM),
5yr Low,15.26
5yr High,107.69
5yr Avg Return,0.19114999999999996
Short Int Current Month,1063654.0
Short Int Prev Month,1170800.0
Short Int Pct of Float,0.042389
Days to Cover,4.08835
Float,25.09512
Shares Outstanding,26.35158
Institutions Holding Shares,222.0
FCF Growth 5yr,0.22456049528665256
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7811
Operating Profit Margin (TTM),-0.5269
Net Profit Margin (TTM),-0.4279
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-11.169200000000002
EPS Growth (TTM),-0.6803
Revenue Growth (MRQ),0.062400000000000004
Revenue Growth (TTM),0.43310000000000004
Return On Equity (TTM),-0.12869999999999998
Return On Assets (TTM),-0.11880000000000002
Return On Investment (TTM),-0.12630000000000002
Revenue Per Employee (TTM),361813.0
Total Debt/Total Capital (MRQ),0.0003
Change in Debt/Total Capital Quarter over Quarter,-0.0088
Quick Ratio (MRQ),9.25
Interest Coverage (MRQ),
ford,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
marketEdge opinion,
ford since,2022-10-14 00:00:00
cfra since,
theStreet since,
researchTeam since,
newConstructs since,
marketEdge opinion since,
