,TYL
% Above Low,0.1623
% Held by Institutions,0.9091
52-Wk Range,['281.11 - 544.05']
Annual Dividend $,
Annual Dividend %,
Ask,570.7
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,326.73
Day Change $,-4.15
Day Change %,-0.0125
Day High,332.17
Day Low,325.27
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.43
Ex-dividend Date,No dividend
Historical Volatility,0.41000000000000003
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,13.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",74.63
Prev Close,330.88
Short Interest,0.0141
Today's Open,329.96
Volume,244684.0
Volume 10-day Avg,316172.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,0.08776978417266168
Growth 1yr High Est,0.08462623413258119
Growth 1yr Consensus Est,0.08619800915262144
Growth 2yr Low Est,0.028673251874690664
Growth 2yr High Est,0.06637033423144012
Growth 2yr Consensus Est,0.04752179305306539
Growth 5yr Low Est,0.09145853313963773
Growth 5yr High Est,0.1123671893617667
Growth 5yr Consensus Est,0.10191286125070222
Growth 5yr Actual/Est,0.10455951701769028
Growth 3yr Historic,0.07831214109926171
Price/Earnings (TTM),74.62976
Price/Sales (TTM),7.52261
Price/Book (MRQ),5.40656
Price/Cash Flow (TTM),40.20898
5yr Low,173.26
5yr High,557.55
5yr Avg Return,0.15735
EPS Growth 5yr,0.0554361
Revenue Growth 5yr,0.15945869999999998
Dividend Growth 5yr,
Short Int Current Month,580228.0
Short Int Prev Month,542103.0
Short Int Pct of Float,0.014105099999999999
Days to Cover,1.34125
Float,41.17979
Shares Outstanding,41.6399
Institutions Holding Shares,866.0
FCF Growth 5yr,0.5805587736915093
"Price/Earnings (TTM, GAAP)",74.63
"PEG Ratio (TTM, GAAP)",10.37
Gross Profit Margin (TTM),0.42460000000000003
Operating Profit Margin (TTM),0.121
Net Profit Margin (TTM),0.1026
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.3299
EPS Growth (TTM),0.1577
Revenue Growth (MRQ),0.0096
Revenue Growth (TTM),0.2701
Return On Equity (TTM),0.0792
Return On Assets (TTM),0.0402
Return On Investment (TTM),0.048600000000000004
Revenue Per Employee (TTM),269341.0
Total Debt/Total Capital (MRQ),0.297
Change in Debt/Total Capital Quarter over Quarter,-0.0025
Quick Ratio (MRQ),
Interest Coverage (MRQ),6.71
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-12-17 00:00:00
theStreet since,2022-04-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-12-17 00:00:00
cfra since,
marketEdge opinion since,
