,TYL,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",74.63,54.08,Valuation,1.3799926035502958
Price/Sales (TTM),7.52,9.39,Valuation,0.8008519701810436
Price/Book (MRQ),5.41,12.63,Valuation,0.42834520981789387
"PEG Ratio (TTM, GAAP)",10.37,1.92,Valuation,5.401041666666666
Gross Profit Margin (TTM),0.42460000000000003,0.7206,Profitability,0.5892311962253678
Operating Profit Margin (TTM),0.121,0.2172,Profitability,0.5570902394106814
Net Profit Margin (TTM),0.1026,0.1553,Profitability,0.660656793303284
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.3299,-0.0752,Gowth rates,-4.386968085106383
EPS Growth (TTM),0.1577,-0.2824,Gowth rates,-0.5584277620396602
Revenue Growth (MRQ),0.0096,0.15560000000000002,Gowth rates,0.06169665809768636
Revenue Growth (TTM),0.2701,0.1906,Gowth rates,1.4171038824763904
Return On Equity (TTM),0.0792,0.2189,Effectiveness,0.36180904522613067
Return On Assets (TTM),0.0402,0.10740000000000001,Effectiveness,0.37430167597765357
Return On Investment (TTM),0.048600000000000004,0.1387,Effectiveness,0.3503965392934391
Revenue Per Employee (TTM),269341.0,667721.0,Effectiveness,0.4033735647074152
Total Debt/Total Capital (MRQ),0.297,0.39659999999999995,Financial strength,0.7488653555219366
Change in Debt/Total Capital Quarter over Quarter,-0.0025,0.0004,Financial strength,-6.25
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),6.71,0.28,Financial strength,23.96428571428571
