,VCSA
% Above Low,0.014499999999999999
% Held by Institutions,0.8265
52-Wk Range,['1.38 - 11.00']
Annual Dividend $,
Annual Dividend %,
Ask,1.41
Ask Size,100.0
B/A Ratio,7.0
B/A Size,700x100
Beta,
Bid,1.39
Bid Size,700.0
Closing Price,1.4
Day Change $,-0.11
Day Change %,-0.0728
Day High,1.53
Day Low,1.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.02
Ex-dividend Date,No dividend
Historical Volatility,1.09
Last (size),49.0
Last (time),3:59p ET 11/28/22
Market Cap,328.2M
"P/E Ratio (TTM, GAAP)",0.75
Prev Close,1.51
Short Interest,0.1066
Today's Open,1.49
Volume,4404947.0
Volume 10-day Avg,3150229.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-08 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.18644067796610164
Growth 2yr High Est,0.2857142857142856
Growth 2yr Consensus Est,0.23607748184019361
Growth 5yr Low Est,0.18644067796610164
Growth 5yr High Est,0.2857142857142856
Growth 5yr Consensus Est,0.23607748184019361
Growth 5yr Actual/Est,3.5208333333333335
Growth 3yr Historic,0.0
Price/Earnings (TTM),0.74659
Price/Sales (TTM),0.56932
Price/Book (MRQ),0.88917
Price/Cash Flow (TTM),
5yr Low,1.5
5yr High,11.0
5yr Avg Return,-0.5068
Short Int Current Month,12130614.0
Short Int Prev Month,12712586.0
Short Int Pct of Float,0.10655279999999999
Days to Cover,2.97434
Float,223.3826
Shares Outstanding,438.0714
Institutions Holding Shares,134.0
FCF Growth 5yr,0.695297300354112
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",0.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5254
Operating Profit Margin (TTM),-0.1533
Net Profit Margin (TTM),-0.1277
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.5902000000000001
EPS Growth (TTM),2.1727000000000003
Revenue Growth (MRQ),0.3281
Revenue Growth (TTM),0.4418
Return On Equity (TTM),
Return On Assets (TTM),-0.09910000000000001
Return On Investment (TTM),-0.2172
Revenue Per Employee (TTM),141695.0
Total Debt/Total Capital (MRQ),0.0004
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-11 00:00:00
theStreet since,2022-11-11 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
