,FE
% Above Low,0.1285
% Held by Institutions,0.8826
52-Wk Range,['35.32 - 48.85']
Annual Dividend $,1.56
Annual Dividend %,0.0391
Ask,39.95
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,37.82
Bid Size,100.0
Closing Price,39.86
Day Change $,0.35
Day Change %,0.0089
Day High,39.87
Day Low,39.6
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",2.2
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.237
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,22.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",18.14
Prev Close,39.51
Short Interest,0.009899999999999999
Today's Open,39.6
Volume,669663.0
Volume 10-day Avg,2872935.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.06976744186046513
Growth 1yr High Est,-0.05283018867924538
Growth 1yr Consensus Est,-0.061298815269855256
Growth 2yr Low Est,-0.04113372093023254
Growth 2yr High Est,-0.004502743742013038
Growth 2yr Consensus Est,-0.02281823233612279
Growth 5yr Low Est,0.003901224641266715
Growth 5yr High Est,0.006537690628993481
Growth 5yr Consensus Est,0.005219457635130098
Growth 5yr Actual/Est,-0.0046568097536000275
Growth 3yr Historic,0.003555674483474408
Price/Earnings (TTM),18.13813
Price/Sales (TTM),1.9084
Price/Book (MRQ),2.11529
Price/Cash Flow (TTM),8.34802
5yr Low,22.85
5yr High,52.52
5yr Avg Return,0.06201666666666667
EPS Growth 5yr,0.1189923
Revenue Growth 5yr,0.0079474
Dividend Growth 5yr,0.0161374
Short Int Current Month,5647891.0
Short Int Prev Month,6532613.0
Short Int Pct of Float,0.009885399999999999
Days to Cover,1.59569
Float,571.401
Shares Outstanding,571.7532
Institutions Holding Shares,922.0
FCF Growth 5yr,-1.3049226595755041
"Price/Earnings (TTM, GAAP)",18.14
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6261
Operating Profit Margin (TTM),0.1643
Net Profit Margin (TTM),0.105
Annual Dividend Yield,0.0391
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.027000000000000003
EPS Growth (MRQ),0.7861
EPS Growth (TTM),0.1714
Revenue Growth (MRQ),0.2331
Revenue Growth (TTM),0.08470000000000001
Return On Equity (TTM),0.1358
Return On Assets (TTM),0.028300000000000002
Return On Investment (TTM),0.0311
Revenue Per Employee (TTM),963453.0
Total Debt/Total Capital (MRQ),0.6542
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),0.56
Interest Coverage (MRQ),2.24
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2021-02-05 00:00:00
researchTeam since,2022-07-27 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-27 00:00:00
ford since,2022-10-07 00:00:00
marketEdge opinion since,
