,VSAT
% Above Low,0.2853
% Held by Institutions,0.8462999999999999
52-Wk Range,['25.38 - 52.72']
Annual Dividend $,
Annual Dividend %,
Ask,33.04
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,32.27
Bid Size,100.0
Closing Price,32.62
Day Change $,-1.75
Day Change %,-0.0509
Day High,34.22
Day Low,32.53
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.98
Ex-dividend Date,No dividend
Historical Volatility,0.622
Last (size),949.0
Last (time),3:59p ET 11/28/22
Market Cap,2.5B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,34.37
Short Interest,0.081
Today's Open,33.82
Volume,356800.0
Volume 10-day Avg,315861.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,13.823529411764705
Growth 1yr High Est,-0.8076923076923077
Growth 1yr Consensus Est,6.507918552036198
Growth 2yr Low Est,6.909780578898225
Growth 2yr High Est,-3.1038461538461535
Growth 2yr Consensus Est,1.9029672125260357
Growth 5yr Low Est,3.4548902894491125
Growth 5yr High Est,-1.5519230769230767
Growth 5yr Consensus Est,0.9514836062630179
Growth 5yr Actual/Est,inf
Growth 3yr Historic,inf
Price/Earnings (TTM),
Price/Sales (TTM),0.98052
Price/Book (MRQ),1.0005
Price/Cash Flow (TTM),7.13506
5yr Low,25.1
5yr High,97.31
5yr Avg Return,-0.06565
EPS Growth 5yr,
Revenue Growth 5yr,0.12320539999999999
Dividend Growth 5yr,
Short Int Current Month,5787608.0
Short Int Prev Month,5629949.0
Short Int Pct of Float,0.08099410000000001
Days to Cover,10.47466
Float,72.46894
Shares Outstanding,75.58695
Institutions Holding Shares,275.0
FCF Growth 5yr,0.12583990651475316
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3009
Operating Profit Margin (TTM),-0.0278
Net Profit Margin (TTM),-0.0521
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.8208
EPS Growth (TTM),-5.1365
Revenue Growth (MRQ),0.1492
Revenue Growth (TTM),0.0441
Return On Equity (TTM),-0.0571
Return On Assets (TTM),-0.0221
Return On Investment (TTM),-0.0253
Revenue Per Employee (TTM),378505.0
Total Debt/Total Capital (MRQ),0.5054
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),1.12
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-05-26 00:00:00
theStreet since,2022-05-26 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
