,VSAT
Price/Earnings (TTM),
Price/Sales (TTM),0.98052
Price/Book (MRQ),1.0005
Price/Cash Flow (TTM),7.13506
5yr Low,25.1
5yr High,97.31
5yr Avg Return,-0.06565
EPS Growth 5yr,
Revenue Growth 5yr,0.12320539999999999
Dividend Growth 5yr,
Short Int Current Month,5787608.0
Short Int Prev Month,5629949.0
Short Int Pct of Float,0.08099410000000001
Days to Cover,10.47466
Float,72.46894
Shares Outstanding,75.58695
Institutions Holding Shares,275.0
% Held by Institutions,0.84628
FCF Growth 5yr,0.12583990651475316
