,VSAT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,26.06,Valuation,
Price/Sales (TTM),0.98,5.09,Valuation,0.1925343811394892
Price/Book (MRQ),1.0,4.51,Valuation,0.22172949002217296
"PEG Ratio (TTM, GAAP)",,2.07,Valuation,
Gross Profit Margin (TTM),0.3009,0.5751,Profitability,0.5232133541992697
Operating Profit Margin (TTM),-0.0278,0.2231,Profitability,-0.1246077991931869
Net Profit Margin (TTM),-0.0521,0.1819,Profitability,-0.28642111050027486
Annual Dividend Yield,,0.0201,Dividend,
Dividend Change %,,0.052300000000000006,Dividend,
"Dividend Growth Rate, 3 Years",,0.0484,Dividend,
EPS Growth (MRQ),-0.8208,-0.16579999999999998,Gowth rates,4.950542822677926
EPS Growth (TTM),-5.1365,0.1262,Gowth rates,-40.7012678288431
Revenue Growth (MRQ),0.1492,0.1365,Gowth rates,1.093040293040293
Revenue Growth (TTM),0.0441,0.0862,Gowth rates,0.511600928074246
Return On Equity (TTM),-0.0571,0.195,Effectiveness,-0.2928205128205128
Return On Assets (TTM),-0.0221,0.1241,Effectiveness,-0.17808219178082194
Return On Investment (TTM),-0.0253,0.1684,Effectiveness,-0.1502375296912114
Revenue Per Employee (TTM),378505.0,688581.0,Effectiveness,0.5496884171942008
Total Debt/Total Capital (MRQ),0.5054,0.36450000000000005,Financial strength,1.3865569272976677
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.0002,Financial strength,7.5
Quick Ratio (MRQ),1.12,1.51,Financial strength,0.7417218543046358
Interest Coverage (MRQ),,1.83,Financial strength,
