,ETWO
% Above Low,0.1902
% Held by Institutions,1.0452
52-Wk Range,['4.89 - 12.55']
Annual Dividend $,
Annual Dividend %,
Ask,9.5
Ask Size,500.0
B/A Ratio,7.4
B/A Size,3700x500
Beta,
Bid,5.35
Bid Size,3700.0
Closing Price,5.82
Day Change $,-0.02
Day Change %,-0.0034000000000000002
Day High,5.84
Day Low,5.72
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.26
Ex-dividend Date,No dividend
Historical Volatility,0.5810000000000001
Last (size),95.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,5.84
Short Interest,0.061
Today's Open,5.82
Volume,203952.0
Volume 10-day Avg,1248804.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-11 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.15384615384615374
Growth 2yr High Est,0.29629629629629606
Growth 2yr Consensus Est,0.2250712250712249
Growth 5yr Low Est,0.15384615384615374
Growth 5yr High Est,0.29629629629629606
Growth 5yr Consensus Est,0.2250712250712249
Growth 5yr Actual/Est,1.343411490470314
Growth 3yr Historic,1.7272727272727275
Price/Earnings (TTM),
Price/Sales (TTM),2.9211
Price/Book (MRQ),0.64125
Price/Cash Flow (TTM),
5yr Low,4.89
5yr High,14.58
5yr Avg Return,-0.1425
Short Int Current Month,14512512.0
Short Int Prev Month,13144655.0
Short Int Pct of Float,0.0609839
Days to Cover,8.04208
Float,276.6614
Shares Outstanding,302.2546
Institutions Holding Shares,207.0
FCF Growth 5yr,-0.4502923976608188
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.48990000000000006
Operating Profit Margin (TTM),-1.0412000000000001
Net Profit Margin (TTM),-0.6954000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-31.4106
EPS Growth (TTM),-0.4985
Revenue Growth (MRQ),0.0018
Revenue Growth (TTM),0.9459000000000001
Return On Equity (TTM),-0.1578
Return On Assets (TTM),-0.09390000000000001
Return On Investment (TTM),-0.1119
Revenue Per Employee (TTM),163556.0
Total Debt/Total Capital (MRQ),0.2613
Change in Debt/Total Capital Quarter over Quarter,0.0074
Quick Ratio (MRQ),
Interest Coverage (MRQ),-0.85
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-07-15 00:00:00
researchTeam since,2022-07-15 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
