,ETWO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.92,9.39,Valuation,0.31096911608093714
Price/Book (MRQ),0.64,12.63,Valuation,0.050673000791765635
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.48990000000000006,0.7206,Profitability,0.6798501248959201
Operating Profit Margin (TTM),-1.0412000000000001,0.2172,Profitability,-4.793738489871087
Net Profit Margin (TTM),-0.6954000000000001,0.1553,Profitability,-4.477784932388926
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-31.4106,-0.0752,Gowth rates,417.69414893617017
EPS Growth (TTM),-0.4985,-0.2824,Gowth rates,1.7652266288951843
Revenue Growth (MRQ),0.0018,0.15560000000000002,Gowth rates,0.011568123393316193
Revenue Growth (TTM),0.9459000000000001,0.1906,Gowth rates,4.962749213011543
Return On Equity (TTM),-0.1578,0.2189,Effectiveness,-0.7208771128369118
Return On Assets (TTM),-0.09390000000000001,0.10740000000000001,Effectiveness,-0.8743016759776536
Return On Investment (TTM),-0.1119,0.1387,Effectiveness,-0.8067772170151406
Revenue Per Employee (TTM),163556.0,667721.0,Effectiveness,0.2449466169253326
Total Debt/Total Capital (MRQ),0.2613,0.39659999999999995,Financial strength,0.6588502269288956
Change in Debt/Total Capital Quarter over Quarter,0.0074,0.0004,Financial strength,18.5
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-0.85,0.28,Financial strength,-3.035714285714285
