,2020,2021,2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Report
high,11.5,14.58,11.56,,,,,
low,9.78,8.26,4.89,,,,,
change,0.032400000000000005,0.026400000000000003,-0.4863,,,,,
Date,,,,2021-11-30 00:00:00,2022-02-28 00:00:00,2022-05-31 00:00:00,2022-08-31 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,56.0,155.0,129.0,98.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,123.0,160.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-4.0,-5.0,Balance Sheet
"Trade Accts Recvble, Net",,,,105.0,155.0,119.0,155.0,Balance Sheet
Other Receivables,,,,,,4.0,5.0,Balance Sheet
"Total Receivables, Net",,,,105.0,155.0,123.0,160.0,Balance Sheet
Prepaid Expenses,,,,29.0,26.0,19.0,20.0,Balance Sheet
Restricted Cash - Current,,,,15.0,19.0,27.0,17.0,Balance Sheet
Other Current Assets,,,,,,5.0,5.0,Balance Sheet
"Other Curr. Assets, Total",,,,15.0,19.0,32.0,23.0,Balance Sheet
Total Current Assets,,,,205.0,356.0,304.0,301.0,Balance Sheet
Buildings,,,,9.0,9.0,10.0,11.0,Balance Sheet
Machinery/Equipment,,,,60.0,77.0,90.0,101.0,Balance Sheet
Other Prop./Plant/Equip.,,,,30.0,32.0,32.0,28.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,99.0,118.0,132.0,140.0,Balance Sheet
Accumulated Depreciation,,,,-17.0,-24.0,-31.0,-38.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,82.0,94.0,102.0,102.0,Balance Sheet
"Goodwill, Net",,,,3760.0,3757.0,3847.0,3293.0,Balance Sheet
Intangibles - Gross,,,,1307.0,1306.0,1363.0,1349.0,Balance Sheet
Accum. Intangible Amort.,,,,-81.0,-125.0,-170.0,-213.0,Balance Sheet
Intangibles - Net,,,,1227.0,1181.0,1193.0,1136.0,Balance Sheet
Long Term Investments,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,15.0,17.0,20.0,21.0,Balance Sheet
Total Assets,,,,5289.0,5405.0,5466.0,4852.0,Balance Sheet
Accounts Payable,,,,21.0,33.0,36.0,39.0,Balance Sheet
Payable/Accrued,,,,73.0,92.0,2.0,2.0,Balance Sheet
Accrued Expenses,,,,24.0,29.0,77.0,73.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,11.0,91.0,13.0,13.0,Balance Sheet
Customer Advances,,,,148.0,191.0,178.0,177.0,Balance Sheet
Income Taxes Payable,,,,15.0,3.0,25.0,12.0,Balance Sheet
Other Current Liabilities,,,,4.0,1.0,76.0,72.0,Balance Sheet
"Other Curr. Lblts, Total",,,,166.0,194.0,279.0,261.0,Balance Sheet
Total Current Liabilities,,,,296.0,440.0,407.0,389.0,Balance Sheet
Long Term Debt,,,,868.0,864.0,1048.0,1046.0,Balance Sheet
Capital Lease Obligations,,,,2.0,2.0,2.0,0.0,Balance Sheet
Total Long Term Debt,,,,870.0,866.0,1050.0,1046.0,Balance Sheet
Total Debt,,,,881.0,957.0,1063.0,1060.0,Balance Sheet
Deferred Income Tax,,,,441.0,413.0,371.0,258.0,Balance Sheet
Minority Interest,,,,300.0,298.0,297.0,254.0,Balance Sheet
"Other Liabilities, Total",,,,276.0,202.0,195.0,164.0,Balance Sheet
Total Liabilities,,,,2182.0,2220.0,2320.0,2111.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
