,PVAC
% Below High,0.22210000000000002
% Held by Institutions,0.8571
52-Wk Range,['23.98 - 53.59']
Annual Dividend $,0.3
Annual Dividend %,0.0069
Ask,41.76
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.8
Bid,41.64
Bid Size,100.0
Day Change $,-1.68
Day Change %,-0.0387
Day High,42.18
Day Low,41.08
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",9.7
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.745
Last (size),10.0
Last (time),1:03p ET 11/28/22
Market Cap,795.9M
"P/E Ratio (TTM, GAAP)",4.47
Prev Close,43.37
Price,41.69
Short Interest,0.12990000000000002
Today's Open,41.55
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.7627118644067796
Growth 1yr High Est,1.8543897216274092
Growth 1yr Consensus Est,1.3085507930170945
Growth 2yr Low Est,0.7771892655367231
Growth 2yr High Est,0.9767072389082283
Growth 2yr Consensus Est,0.8769482522224756
Growth 5yr Low Est,0.7771892655367231
Growth 5yr High Est,0.9767072389082283
Growth 5yr Consensus Est,0.8769482522224757
Growth 5yr Actual/Est,0.2519102642471519
Growth 3yr Historic,-0.1477761052115731
Price/Earnings (TTM),4.47168
Price/Sales (TTM),1.63991
Price/Book (MRQ),4.07828
Price/Cash Flow (TTM),2.81014
5yr Low,0.99
5yr High,96.13
5yr Avg Return,0.25415000000000004
EPS Growth 5yr,-0.4924648
Revenue Growth 5yr,0.3440893
Dividend Growth 5yr,
Short Int Current Month,2466953.0
Short Int Prev Month,2562063.0
Short Int Pct of Float,0.1299221
Days to Cover,5.41146
Float,18.96873
Shares Outstanding,41.63924
Institutions Holding Shares,237.0
FCF Growth 5yr,0.26166129244130687
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-08-11 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
