,GEF
% Below High,0.017
% Held by Institutions,0.8808
52-Wk Range,['53.65 - 74.22']
Annual Dividend $,2.0
Annual Dividend %,0.0274
Ask,80.0
Ask Size,500.0
B/A Ratio,13.0
B/A Size,6500x500
Beta,1.0
Bid,69.0
Bid Size,6500.0
Closing Price,72.96
Day Change $,-0.01
Day Change %,-0.0001
Day High,73.58
Day Low,72.81
Dividend Pay Date,2022-10-01 00:00:00
"EPS (TTM, GAAP)",7.82
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.349
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,4.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.32
Prev Close,72.97
Short Interest,0.0431
Today's Open,73.03
Volume,63706.0
Volume 10-day Avg,195144.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,1.572347266881029
Growth 1yr High Est,1.48
Growth 1yr Consensus Est,1.5261736334405145
Growth 2yr Low Est,0.6861736334405145
Growth 2yr High Est,0.761712158808933
Growth 2yr Consensus Est,0.7239428961247237
Growth 5yr Low Est,0.2998687316138743
Growth 5yr High Est,0.3418950404434275
Growth 5yr Consensus Est,0.32088188602865086
Growth 5yr Actual/Est,0.22350897460523722
Growth 3yr Historic,0.1380654369784804
Price/Earnings (TTM),9.32403
Price/Sales (TTM),0.56125
Price/Book (MRQ),2.04216
Price/Cash Flow (TTM),5.82058
5yr Low,23.65
5yr High,74.22
5yr Avg Return,0.0801
EPS Growth 5yr,0.38686410000000004
Revenue Growth 5yr,0.10823600000000001
Dividend Growth 5yr,0.011631
Short Int Current Month,1059412.0
Short Int Prev Month,1057198.0
Short Int Pct of Float,0.0431022
Days to Cover,5.05664
Float,29.99988
Shares Outstanding,47.61401
Institutions Holding Shares,305.0
FCF Growth 5yr,-1.006631263756628
"Price/Earnings (TTM, GAAP)",9.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1977
Operating Profit Margin (TTM),0.0908
Net Profit Margin (TTM),0.0617
Annual Dividend Yield,0.027400000000000004
Dividend Change %,0.011399999999999999
"Dividend Growth Rate, 3 Years",0.0154
EPS Growth (MRQ),0.13820000000000002
EPS Growth (TTM),0.1437
Revenue Growth (MRQ),-0.0271
Revenue Growth (TTM),0.2515
Return On Equity (TTM),0.24230000000000002
Return On Assets (TTM),0.0699
Return On Investment (TTM),0.0895
Revenue Per Employee (TTM),401994.0
Total Debt/Total Capital (MRQ),0.54
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.05
Interest Coverage (MRQ),14.66
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-06-19 00:00:00
researchTeam since,2022-07-22 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
