,TDY
% Below High,0.1632
% Held by Institutions,0.9181999999999999
52-Wk Range,['325.00 - 493.97']
Annual Dividend $,
Annual Dividend %,
Ask,490.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,330.0
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,413.33
Day Change $,-6.84
Day Change %,-0.0163
Day High,418.99
Day Low,412.0
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",15.16
Ex-dividend Date,No dividend
Historical Volatility,0.298
Last (size),38.0
Last (time),4:10p ET 11/28/22
Last Trade,413.33
Market Cap,19.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.71
Prev Close,420.17
Short Interest,0.018000000000000002
Today's Open,417.59
Volume,154333.0
Volume 10-day Avg,233859.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.08058608058608052
Growth 1yr High Est,0.0715144230769229
Growth 1yr Consensus Est,0.07605025183150171
Growth 2yr Low Est,0.06571676910659963
Growth 2yr High Est,0.08679478865567969
Growth 2yr Consensus Est,0.07625577888113966
Growth 5yr Low Est,0.18359886580571572
Growth 5yr High Est,0.19347384650188193
Growth 5yr Consensus Est,0.18853635615379882
Growth 5yr Actual/Est,0.17569041521045262
Growth 3yr Historic,0.14432974763191012
Price/Earnings (TTM),27.70833
Price/Sales (TTM),3.63616
Price/Book (MRQ),2.57915
Price/Cash Flow (TTM),17.7694
5yr Low,172.8
5yr High,493.97
5yr Avg Return,0.18515
EPS Growth 5yr,0.1332725
Revenue Growth 5yr,0.1650311
Dividend Growth 5yr,
Short Int Current Month,833122.0
Short Int Prev Month,780343.0
Short Int Pct of Float,0.0180225
Days to Cover,2.45096
Float,46.25561
Shares Outstanding,46.87109
Institutions Holding Shares,798.0
FCF Growth 5yr,-2.044398627697186
"Price/Earnings (TTM, GAAP)",27.71
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4172
Operating Profit Margin (TTM),0.1637
Net Profit Margin (TTM),0.13369999999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0409
EPS Growth (TTM),0.5191
Revenue Growth (MRQ),0.0058
Revenue Growth (TTM),0.33799999999999997
Return On Equity (TTM),0.0959
Return On Assets (TTM),0.0512
Return On Investment (TTM),0.056900000000000006
Revenue Per Employee (TTM),373524.0
Total Debt/Total Capital (MRQ),0.3376
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),1.19
Interest Coverage (MRQ),11.15
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2021-12-10 00:00:00
theStreet since,2022-08-08 00:00:00
cfra since,2022-10-27 00:00:00
ford since,2021-12-10 00:00:00
marketEdge opinion since,
