,BMRC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.8,11.43,Valuation,1.1198600174978128
Price/Sales (TTM),4.1,3.3,Valuation,1.2424242424242424
Price/Book (MRQ),1.41,1.46,Valuation,0.9657534246575342
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.4376,0.34240000000000004,Profitability,1.27803738317757
Net Profit Margin (TTM),0.3197,0.2812,Profitability,1.136913229018492
Annual Dividend Yield,0.0288,0.028700000000000003,Dividend,1.003484320557491
Dividend Change %,0.0217,-0.0086,Dividend,-2.5232558139534884
"Dividend Growth Rate, 3 Years",0.13970000000000002,0.0734,Dividend,1.9032697547683926
EPS Growth (MRQ),0.09880000000000001,-0.0335,Gowth rates,-2.949253731343284
EPS Growth (TTM),0.1723,-0.09960000000000001,Gowth rates,-1.7299196787148594
Revenue Growth (MRQ),0.0563,0.5429,Gowth rates,0.10370233928900349
Revenue Growth (TTM),0.25579999999999997,0.2466,Gowth rates,1.0373073803730737
Return On Equity (TTM),0.10160000000000001,0.1135,Effectiveness,0.8951541850220265
Return On Assets (TTM),0.0101,0.0099,Effectiveness,1.02020202020202
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0021,0.0009,Financial strength,-2.333333333333333
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
