,BMRC
% Below High,0.1231
% Held by Institutions,0.4962
52-Wk Range,['29.88 - 39.65']
Annual Dividend $,1.0
Annual Dividend %,0.0288
Ask,55.68
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,13.92
Bid Size,200.0
Closing Price,34.77
Day Change $,-0.02
Day Change %,-0.0006
Day High,35.03
Day Low,34.77
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",2.72
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.25
Last (size),7.0
Last (time),12:37p ET 11/25/22
Market Cap,559.7M
"P/E Ratio (TTM, GAAP)",12.8
Prev Close,34.79
Short Interest,0.0141
Today's Open,34.87
Volume,12439.0
Volume 10-day Avg,28077.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.31506849315068486
Growth 1yr High Est,0.23628691983122363
Growth 1yr Consensus Est,0.27567770649095424
Growth 2yr Low Est,0.1783675799086758
Growth 2yr High Est,0.16421854523984392
Growth 2yr Consensus Est,0.17129306257425986
Growth 5yr Low Est,0.0654234593758255
Growth 5yr High Est,0.0719878151300434
Growth 5yr Consensus Est,0.06870563725293445
Growth 5yr Actual/Est,0.06784430910089856
Growth 3yr Historic,-0.017200668410345843
Price/Earnings (TTM),12.79537
Price/Sales (TTM),4.10418
Price/Book (MRQ),1.4053
Price/Cash Flow (TTM),11.9452
5yr Low,23.8
5yr High,47.77
5yr Avg Return,0.010250000000000002
EPS Growth 5yr,0.0402334
Revenue Growth 5yr,0.075126
Dividend Growth 5yr,0.13008609999999998
Short Int Current Month,202827.0
Short Int Prev Month,255825.0
Short Int Pct of Float,0.0141044
Days to Cover,5.96919
Float,14.38378
Shares Outstanding,16.02862
Institutions Holding Shares,149.0
FCF Growth 5yr,0.3122271960275976
"Price/Earnings (TTM, GAAP)",12.8
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4376
Net Profit Margin (TTM),0.3197
Annual Dividend Yield,0.0288
Dividend Change %,0.0217
"Dividend Growth Rate, 3 Years",0.13970000000000002
EPS Growth (MRQ),0.09880000000000001
EPS Growth (TTM),0.1723
Revenue Growth (MRQ),0.0563
Revenue Growth (TTM),0.25579999999999997
Return On Equity (TTM),0.10160000000000001
Return On Assets (TTM),0.0101
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-10-31 00:00:00
ford since,2022-10-28 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2022-10-31 00:00:00
marketEdge opinion since,
