,LW
% Below High,0.0215
% Held by Institutions,0.8797
52-Wk Range,['49.71 - 88.04']
Annual Dividend $,0.98
Annual Dividend %,0.011399999999999999
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.5
Bid,84.3
Bid Size,
Closing Price,86.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",2.78
Ex-dividend,2022-11-03 00:00:00
Ex-dividend Date,11/03/22
Historical Volatility,0.31
Last (size),48.0
Last (time),5:00p ET 11/25/22
Market Cap,12.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",31.0
Prev Close,86.15
Short Interest,0.019
Today's Open,
Volume,493827.0
Volume 10-day Avg,1505753.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.29186602870813405
Growth 1yr High Est,0.25514403292181065
Growth 1yr Consensus Est,0.27350503081497235
Growth 2yr Low Est,0.33111819953925214
Growth 2yr High Est,0.34396545908385623
Growth 2yr Consensus Est,0.3375418293115542
Growth 5yr Low Est,0.22074546635950143
Growth 5yr High Est,0.22931030605590416
Growth 5yr Consensus Est,0.22502788620770278
Growth 5yr Actual/Est,0.14628965658999218
Growth 3yr Historic,-0.04325925925925925
Price/Earnings (TTM),30.99791
Price/Sales (TTM),2.92221
Price/Book (MRQ),24.29609
Price/Cash Flow (TTM),28.1679
5yr Low,39.06
5yr High,96.32
5yr Avg Return,0.10133333333333333
EPS Growth 5yr,-0.090739
Revenue Growth 5yr,0.05287410000000001
Dividend Growth 5yr,0.3833895
Short Int Current Month,2649200.0
Short Int Prev Month,2642325.0
Short Int Pct of Float,0.018985099999999998
Days to Cover,1.61184
Float,139.5818
Shares Outstanding,143.8312
Institutions Holding Shares,778.0
FCF Growth 5yr,-1.7883557207785967
"Price/Earnings (TTM, GAAP)",31.0
"PEG Ratio (TTM, GAAP)",0.91
Gross Profit Margin (TTM),0.225
Operating Profit Margin (TTM),0.1151
Net Profit Margin (TTM),0.057800000000000004
Annual Dividend Yield,0.011399999999999999
Dividend Change %,0.027000000000000003
"Dividend Growth Rate, 3 Years",0.0708
EPS Growth (MRQ),6.266900000000001
EPS Growth (TTM),0.5828
Revenue Growth (MRQ),-0.023799999999999998
Revenue Growth (TTM),0.1207
Return On Equity (TTM),0.8598
Return On Assets (TTM),0.0571
Return On Investment (TTM),0.06860000000000001
Revenue Per Employee (TTM),530038.0
Total Debt/Total Capital (MRQ),0.8431000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),1.27
Interest Coverage (MRQ),6.04
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-10-06 00:00:00
cfra since,2022-07-28 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
