,CACC
% Above Low,0.2023
% Held by Institutions,0.6049
52-Wk Range,['397.58 - 699.08']
Annual Dividend $,
Annual Dividend %,
Ask,768.11
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.4
Bid,475.87
Bid Size,200.0
Closing Price,477.99
Day Change $,-2.08
Day Change %,-0.0043
Day High,483.56
Day Low,475.93
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",44.16
Ex-dividend Date,No dividend
Historical Volatility,0.49200000000000005
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,6.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",10.82
Prev Close,480.07
Short Interest,0.12
Today's Open,475.93
Volume,44804.0
Volume 10-day Avg,108620.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.4064123231237685
Growth 1yr High Est,-0.28439442298001005
Growth 1yr Consensus Est,-0.3454033730518893
Growth 2yr Low Est,-0.4185048942112506
Growth 2yr High Est,-0.01754932416606142
Growth 2yr Consensus Est,-0.218027109188656
Growth 5yr Low Est,-0.055973048088000354
Growth 5yr High Est,0.1653490198776418
Growth 5yr Consensus Est,0.054687985894820726
Growth 5yr Actual/Est,0.2008499258241338
Growth 3yr Historic,0.30372894008920115
Price/Earnings (TTM),10.82359
Price/Sales (TTM),3.36376
Price/Book (MRQ),3.88742
Price/Cash Flow (TTM),9.47528
5yr Low,199.0
5yr High,703.27
5yr Avg Return,0.15243333333333334
EPS Growth 5yr,0.295581
Revenue Growth 5yr,0.1387619
Dividend Growth 5yr,
Short Int Current Month,1039890.0
Short Int Prev Month,1070352.0
Short Int Pct of Float,0.1199842
Days to Cover,6.62127
Float,8.67645
Shares Outstanding,12.92471
Institutions Holding Shares,315.0
FCF Growth 5yr,0.18120687946157812
"Price/Earnings (TTM, GAAP)",10.82
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.5386
Net Profit Margin (TTM),0.34090000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1825
EPS Growth (TTM),-0.1841
Revenue Growth (MRQ),0.0063
Revenue Growth (TTM),-0.002
Return On Equity (TTM),0.35340000000000005
Return On Assets (TTM),0.0889
Return On Investment (TTM),0.09210000000000002
Revenue Per Employee (TTM),885962.0
Total Debt/Total Capital (MRQ),0.7443000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.92
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-11-11 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-01-26 00:00:00
