,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,13.02,9.71,17.21,11.78,9.52,,,,,
low,5.91,4.25,3.41,6.73,6.0,,,,,
change,-0.5249,0.335,-0.02,0.0605,0.0651,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,24.0,17.0,44.0,46.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,496.0,510.0,590.0,601.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-54.0,-56.0,-62.0,-61.0,Balance Sheet
"Total Receivables, Net",,,,,,501.0,508.0,597.0,581.0,Balance Sheet
Total Inventory,,,,,,348.0,381.0,397.0,424.0,Balance Sheet
Prepaid Expenses,,,,,,119.0,161.0,146.0,314.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Current Assets,,,,,,993.0,1067.0,1184.0,1364.0,Balance Sheet
Machinery/Equipment,,,,,,5500.0,5676.0,5868.0,6054.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,293.0,299.0,214.0,330.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,5793.0,5975.0,6082.0,6385.0,Balance Sheet
Accumulated Depreciation,,,,,,-2710.0,-2845.0,-2887.0,-3116.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,3358.0,3405.0,3472.0,3552.0,Balance Sheet
"Goodwill, Net",,,,,,5943.0,5941.0,5967.0,5822.0,Balance Sheet
Intangibles - Gross,,,,,,11834.0,12019.0,9811.0,9975.0,Balance Sheet
Accum. Intangible Amort.,,,,,,-6420.0,-6733.0,-4573.0,-4789.0,Balance Sheet
Intangibles - Net,,,,,,5413.0,5286.0,5238.0,5186.0,Balance Sheet
Note Rcvble - Long Term,,,,,,36.0,27.0,21.0,17.0,Balance Sheet
Other Long Term Assets,,,,,,301.0,384.0,465.0,592.0,Balance Sheet
Total Assets,,,,,,16894.0,17015.0,17315.0,17568.0,Balance Sheet
Accounts Payable,,,,,,475.0,450.0,462.0,490.0,Balance Sheet
Accrued Expenses,,,,,,687.0,615.0,670.0,710.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,118.0,126.0,844.0,858.0,Balance Sheet
Customer Advances,,,,,,374.0,374.0,388.0,429.0,Balance Sheet
Other Current Liabilities,,,,,,50.0,14.0,,199.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,424.0,388.0,388.0,628.0,Balance Sheet
Total Current Liabilities,,,,,,1703.0,1579.0,2365.0,2686.0,Balance Sheet
Long Term Debt,,,,,,9521.0,9685.0,8948.0,8896.0,Balance Sheet
Capital Lease Obligations,,,,,,54.0,50.0,51.0,50.0,Balance Sheet
Total Long Term Debt,,,,,,9575.0,9735.0,8999.0,8945.0,Balance Sheet
Total Debt,,,,,,9693.0,9862.0,9843.0,9803.0,Balance Sheet
Deferred Income Tax,,,,,,867.0,888.0,927.0,928.0,Balance Sheet
"Other Liabilities, Total",,,,,,1500.0,1532.0,1645.0,1802.0,Balance Sheet
Total Liabilities,,,,,,13646.0,13735.0,13936.0,14361.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,0.0,0.0,,0.0,Balance Sheet
Common Stock,,,,,,9.0,9.0,9.0,9.0,Balance Sheet
Additional Paid-In Capital,,,,,,7261.0,7262.0,7296.0,7274.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-3953.0,-3933.0,-3874.0,-4029.0,Balance Sheet
"Other Equity, Total",,,,,,-69.0,-58.0,-51.0,-47.0,Balance Sheet
Total Equity,,,,,,3249.0,3280.0,3379.0,3207.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,16894.0,17015.0,17315.0,17568.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,,,847.0,851.0,857.0,859.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,,,55.0,55.0,55.0,55.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,902.0,906.0,911.0,913.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,1381.0,1545.0,1601.0,1604.0,Income Statement
"Cost of Revenue, Total",,,,,,415.0,510.0,508.0,494.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,445.0,482.0,487.0,480.0,Income Statement
Depreciation/Amortization,,,,,,491.0,476.0,399.0,406.0,Income Statement
Impair-Assets Held for Use,,,,,,0.0,,,149.0,Income Statement
Other Unusual Expnse (In),,,,,,19.0,1.0,-4.0,6.0,Income Statement
Unusual Expense (Income),,,,,,19.0,1.0,-4.0,156.0,Income Statement
Total Operating Expense,,,,,,1371.0,1469.0,1390.0,1537.0,Income Statement
Total Operating Income,,,,,,10.0,76.0,211.0,67.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,-110.0,-6.0,-82.0,-30.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,3.0,1.0,1.0,-156.0,Income Statement
"Other, Net",,,,,,3.0,1.0,1.0,-156.0,Income Statement
Income Before Tax,,,,,,-96.0,71.0,130.0,-119.0,Income Statement
Income Tax - Total,,,,,,-38.0,20.0,38.0,2.0,Income Statement
Income After Tax,,,,,,-58.0,52.0,92.0,-120.0,Income Statement
Equity In Affiliates,,,,,,,,-1.0,-2.0,Income Statement
Net Inc Before Extra Items,,,,,,-58.0,52.0,92.0,-122.0,Income Statement
Total Net Income,,,,,,-58.0,52.0,92.0,-122.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,-58.0,52.0,92.0,-122.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,-58.0,52.0,92.0,-122.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,842.0,899.0,903.0,905.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,-0.07,0.06,0.1,-0.13,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,-0.07,0.06,0.1,-0.13,Income Statement
Diluted Weighted Average Shares,,,,,,842.0,966.0,903.0,905.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,-0.07,0.05,0.1,-0.13,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,-0.07,0.05,0.1,-0.13,Income Statement
Div/Share-ComStockPrimIssue,,,,,,0.04,0.04,0.04,0.04,Income Statement
Gross Divid - Common Stock,,,,,,29.0,32.0,32.0,32.0,Income Statement
Pro Forma Net Income,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,110.0,6.0,82.0,30.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,182.0,184.0,189.0,191.0,Income Statement
Total Special Items,,,,,,59.0,47.0,-2.0,150.0,Income Statement
Normalzd Income Before Tax,,,,,,-37.0,118.0,128.0,32.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,21.0,13.0,-1.0,53.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,-18.0,32.0,37.0,54.0,Income Statement
Normalized Income After Tax,,,,,,-20.0,86.0,91.0,-23.0,Income Statement
Normalzd Inc Avail to Common,,,,,,-20.0,86.0,90.0,-24.0,Income Statement
Basic Normalized EPS,,,,,,-0.02,0.1,0.1,-0.03,Income Statement
Diluted Normalized EPS,,,,,,-0.02,0.09,0.1,-0.03,Income Statement
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,-341.0,52.0,143.0,21.0,Cash Flow
Depreciation/Depletion,,,,,,1915.0,476.0,876.0,1282.0,Cash Flow
Deferred Taxes,,,,,,-139.0,16.0,50.0,48.0,Cash Flow
Unusual Items,,,,,,-101.0,-145.0,-205.0,-6.0,Cash Flow
Other Non-Cash Items,,,,,,203.0,84.0,121.0,165.0,Cash Flow
Non-Cash Items,,,,,,101.0,-61.0,-83.0,159.0,Cash Flow
Accounts Receivable,,,,,,-3.0,,,,Cash Flow
Inventories,,,,,,-84.0,,,,Cash Flow
Other Assets,,,,,,-324.0,-93.0,-196.0,-304.0,Cash Flow
Accounts Payable,,,,,,98.0,,,,Cash Flow
Changes in Working Capital,,,,,,114.0,-175.0,-163.0,-189.0,Cash Flow
Total Cash from Operations,,,,,,1650.0,308.0,823.0,1321.0,Cash Flow
Purchase of Fixed Assets,,,,,,-863.0,-220.0,-466.0,-708.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,-675.0,-185.0,-342.0,-500.0,Cash Flow
