,ADT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-674.43,Valuation,
Price/Sales (TTM),1.34,3.81,Valuation,0.35170603674540685
Price/Book (MRQ),2.56,2.94,Valuation,0.870748299319728
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.6856,0.30350000000000005,Profitability,2.2589785831960456
Operating Profit Margin (TTM),0.05940000000000001,0.047,Profitability,1.2638297872340427
Net Profit Margin (TTM),-0.005600000000000001,0.024900000000000002,Profitability,-0.22489959839357432
Annual Dividend Yield,0.015600000000000001,0.0049,Dividend,3.1836734693877555
Dividend Change %,0.0,0.015500000000000002,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.013000000000000001,Dividend,0.0
EPS Growth (MRQ),-2.33,-8.9082,Gowth rates,0.26155676792169014
EPS Growth (TTM),0.8987,1.3234000000000001,Gowth rates,0.6790841771195405
Revenue Growth (MRQ),0.0019,0.0315,Gowth rates,0.06031746031746032
Revenue Growth (TTM),0.1698,0.1202,Gowth rates,1.4126455906821964
Return On Equity (TTM),-0.0124,0.0073,Effectiveness,-1.6986301369863013
Return On Assets (TTM),-0.002,-0.0022,Effectiveness,0.9090909090909091
Return On Investment (TTM),-0.0023,0.005699999999999999,Effectiveness,-0.4035087719298246
Revenue Per Employee (TTM),245234.0,227358.0,Effectiveness,1.0786248999375434
Total Debt/Total Capital (MRQ),0.7535,0.5721,Financial strength,1.3170774340150322
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001,0.001,Financial strength,-0.7000000000000001
Quick Ratio (MRQ),0.35,0.56,Financial strength,0.6249999999999999
Interest Coverage (MRQ),7.24,2.57,Financial strength,2.8171206225680936
