,ADT
% Below High,0.0546
% Held by Institutions,1.0584
52-Wk Range,['6.00 - 9.52']
Annual Dividend $,0.14
Annual Dividend %,0.015600000000000001
Ask,9.5
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,1.8
Bid,8.5
Bid Size,100.0
Closing Price,9.0
Day Change $,0.0
Day Change %,0.0
Day High,9.04
Day Low,8.93
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",-0.05
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.42200000000000004
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,8.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,9.0
Short Interest,0.015300000000000001
Today's Open,9.04
Volume,1936541.0
Volume 10-day Avg,3469107.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.22448979591836737
Growth 2yr High Est,0.5
Growth 2yr Consensus Est,0.3622448979591837
Growth 5yr Low Est,0.22448979591836737
Growth 5yr High Est,0.5
Growth 5yr Consensus Est,0.3622448979591837
Growth 5yr Actual/Est,-0.9966920727096754
Growth 3yr Historic,-0.3200254060430088
Price/Earnings (TTM),
Price/Sales (TTM),1.34096
Price/Book (MRQ),2.56337
Price/Cash Flow (TTM),4.72937
5yr Low,3.41
5yr High,17.21
5yr Avg Return,-0.016860000000000003
EPS Growth 5yr,
Revenue Growth 5yr,0.1246415
Dividend Growth 5yr,
Short Int Current Month,12905997.0
Short Int Prev Month,35345499.0
Short Int Pct of Float,0.0153135
Days to Cover,1.86959
Float,788.4484
Shares Outstanding,913.4673
Institutions Holding Shares,284.0
FCF Growth 5yr,1.146201814058957
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6856
Operating Profit Margin (TTM),0.05940000000000001
Net Profit Margin (TTM),-0.005600000000000001
Annual Dividend Yield,0.015600000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-2.33
EPS Growth (TTM),0.8987
Revenue Growth (MRQ),0.0019
Revenue Growth (TTM),0.1698
Return On Equity (TTM),-0.0124
Return On Assets (TTM),-0.002
Return On Investment (TTM),-0.0023
Revenue Per Employee (TTM),245234.0
Total Debt/Total Capital (MRQ),0.7535
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),0.35
Interest Coverage (MRQ),7.24
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2021-10-14 00:00:00
marketEdge opinion since,
