,INSW
% Below High,0.0703
% Held by Institutions,0.6547
52-Wk Range,['13.05 - 48.12']
Annual Dividend $,0.48
Annual Dividend %,0.010700000000000001
Ask,44.74
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.0
Bid,44.26
Bid Size,100.0
Closing Price,44.74
Day Change $,1.69
Day Change %,0.0393
Day High,44.79
Day Low,42.61
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",2.73
Ex-dividend,2022-12-07 00:00:00
Ex-dividend Date,12/07/22
Historical Volatility,0.47500000000000003
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
"P/E Ratio (TTM, GAAP)",16.4
Prev Close,43.05
Short Interest,0.0443
Today's Open,43.21
Volume,322164.0
Volume 10-day Avg,720285.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.7407407407407409
Growth 1yr High Est,0.4929292929292928
Growth 1yr Consensus Est,0.6168350168350168
Growth 2yr Low Est,0.14544635821231577
Growth 2yr High Est,0.5110113311737128
Growth 2yr Consensus Est,0.3282288446930143
Growth 5yr Low Est,0.09696423880821052
Growth 5yr High Est,0.34067422078247517
Growth 5yr Consensus Est,0.21881922979534285
Growth 5yr Actual/Est,0.8785321880820303
Growth 3yr Historic,1.6369287064411382
Price/Earnings (TTM),16.39945
Price/Sales (TTM),3.53485
Price/Book (MRQ),1.65174
Price/Cash Flow (TTM),8.97947
5yr Low,12.44
5yr High,48.12
5yr Avg Return,0.3668333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0730811
Dividend Growth 5yr,
Short Int Current Month,1493268.0
Short Int Prev Month,1613367.0
Short Int Pct of Float,0.0443498
Days to Cover,1.95248
Float,34.95584
Shares Outstanding,49.07842
Institutions Holding Shares,224.0
FCF Growth 5yr,-0.8002958855842364
"Price/Earnings (TTM, GAAP)",16.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5518
Operating Profit Margin (TTM),0.3049
Net Profit Margin (TTM),0.21710000000000002
Annual Dividend Yield,0.010700000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6475
EPS Growth (TTM),1.4032
Revenue Growth (MRQ),0.2584
Revenue Growth (TTM),1.6481000000000001
Return On Equity (TTM),0.10650000000000001
Return On Assets (TTM),0.055
Return On Investment (TTM),0.0617
Revenue Per Employee (TTM),301396.0
Total Debt/Total Capital (MRQ),0.4455
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),2.3
Interest Coverage (MRQ),8.44
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-09 00:00:00
researchTeam since,2022-11-09 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
