,K
% Below High,0.056600000000000004
% Held by Institutions,0.7763
52-Wk Range,['59.54 - 77.17']
Annual Dividend $,2.36
Annual Dividend %,0.032400000000000005
Ask,76.99
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.4
Bid,68.1
Bid Size,100.0
Closing Price,72.8
Day Change $,0.29
Day Change %,0.004
Day High,72.9
Day Low,72.46
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",4.34
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.23
Last (size),516.0
Last (time),5:00p ET 11/25/22
Market Cap,24.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.77
Prev Close,72.51
Short Interest,0.0356
Today's Open,72.84
Volume,1045005.0
Volume 10-day Avg,2263524.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,0.007159904534606021
Growth 1yr Consensus Est,0.0035799522673030104
Growth 2yr Low Est,-0.006203473945409488
Growth 2yr High Est,0.013058625253084988
Growth 2yr Consensus Est,0.00342757565383775
Growth 5yr Low Est,0.018054117446510337
Growth 5yr High Est,0.02284587435459362
Growth 5yr Consensus Est,0.02044999590055198
Growth 5yr Actual/Est,0.013226159562545498
Growth 3yr Historic,0.013824217905169023
Price/Earnings (TTM),16.76952
Price/Sales (TTM),1.66724
Price/Book (MRQ),7.15592
Price/Cash Flow (TTM),12.68263
5yr Low,51.34
5yr High,77.17
5yr Avg Return,0.0269
EPS Growth 5yr,0.1700452
Revenue Growth 5yr,0.0180916
Dividend Growth 5yr,0.025171100000000002
Short Int Current Month,11304405.0
Short Int Prev Month,12234880.0
Short Int Pct of Float,0.035647899999999996
Days to Cover,3.50475
Float,317.1859
Shares Outstanding,341.2811
Institutions Holding Shares,1210.0
FCF Growth 5yr,0.5179819740901132
"Price/Earnings (TTM, GAAP)",16.77
"PEG Ratio (TTM, GAAP)",10.21
Gross Profit Margin (TTM),0.3005
Operating Profit Margin (TTM),0.1093
Net Profit Margin (TTM),0.0998
Annual Dividend Yield,0.032400000000000005
Dividend Change %,0.013200000000000002
"Dividend Growth Rate, 3 Years",0.016399999999999998
EPS Growth (MRQ),-0.0546
EPS Growth (TTM),0.1839
Revenue Growth (MRQ),0.0212
Revenue Growth (TTM),0.047599999999999996
Return On Equity (TTM),0.3839
Return On Assets (TTM),0.0795
Return On Investment (TTM),0.11720000000000001
Revenue Per Employee (TTM),480710.0
Total Debt/Total Capital (MRQ),0.5853
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),0.46
Interest Coverage (MRQ),9.54
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2019-08-13 00:00:00
researchTeam since,2022-11-16 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-11-16 00:00:00
ford since,2022-09-16 00:00:00
marketEdge opinion since,
