,NRDS
% Above Low,0.9024
% Held by Institutions,0.5171
52-Wk Range,['7.07 - 23.98']
Annual Dividend $,
Annual Dividend %,
Ask,13.78
Ask Size,300.0
Ask close,16.73
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,13.4
Bid Size,100.0
Bid close,10.34
Change Since Close,0.00| |(0.00%)
Closing Price,13.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.41
Ex-dividend Date,No dividend
Historical Volatility,0.821
Last (size),10.0
Last (time),1:00p ET 11/25/22
Last Trade,13.45
Market Cap,999.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.45
Short Interest,0.0373
Today's Open,
Volume,10.0
Volume 10-day Avg,487639.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.7472527472527473
Growth 1yr High Est,-0.765625
Growth 1yr Consensus Est,-0.7564388736263736
Growth 2yr Low Est,-0.13449593884376487
Growth 2yr High Est,-2.749479166666667
Growth 2yr Consensus Est,-1.441987552755216
Growth 5yr Low Est,-0.13449593884376487
Growth 5yr High Est,-2.749479166666667
Growth 5yr Consensus Est,-1.441987552755216
Growth 5yr Actual/Est,-0.936777920410783
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),2.01408
Price/Book (MRQ),3.13803
Price/Cash Flow (TTM),172.3778
5yr Low,7.07
5yr High,34.44
5yr Avg Return,-0.24134999999999998
Short Int Current Month,1557617.0
Short Int Prev Month,1835379.0
Short Int Pct of Float,0.037349
Days to Cover,2.20963
Float,41.73007
Shares Outstanding,74.33392
Institutions Holding Shares,87.0
FCF Growth 5yr,0.8282596283844125
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9299
Operating Profit Margin (TTM),-0.0731
Net Profit Margin (TTM),-0.054400000000000004
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.0676
EPS Growth (TTM),0.3055
Revenue Growth (MRQ),0.139
Revenue Growth (TTM),0.4739
Return On Equity (TTM),-0.1454
Return On Assets (TTM),-0.0745
Return On Investment (TTM),-0.09330000000000001
Revenue Per Employee (TTM),735407.0
Total Debt/Total Capital (MRQ),0.1801
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),-19.0
newConstructs,rating-box
ford,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
