,ADTN
% Above Low,0.24480000000000002
% Held by Institutions,0.8874
52-Wk Range,['16.30 - 25.47']
Annual Dividend $,0.36
Annual Dividend %,0.0177
Ask,24.0
Ask Size,2000.0
B/A Ratio,0.3
B/A Size,600x2000
Beta,1.4
Bid,19.4
Bid Size,600.0
Closing Price,20.29
Day Change $,0.04
Day Change %,0.002
Day High,20.84
Day Low,20.26
Dividend Pay Date,2022-12-06 00:00:00
"EPS (TTM, GAAP)",-0.28
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.45
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,1.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,20.25
Short Interest,0.028300000000000002
Today's Open,20.78
Volume,159444.0
Volume 10-day Avg,455624.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.6461538461538463
Growth 2yr High Est,0.9436619718309858
Growth 2yr Consensus Est,0.794907908992416
Growth 5yr Low Est,0.6461538461538463
Growth 5yr High Est,0.9436619718309858
Growth 5yr Consensus Est,0.794907908992416
Growth 5yr Actual/Est,0.9296648011431292
Growth 3yr Historic,0.5153846153846153
Price/Earnings (TTM),
Price/Sales (TTM),2.5463
Price/Book (MRQ),2.85986
Price/Cash Flow (TTM),976.8376
5yr Low,4.8
5yr High,25.47
5yr Avg Return,0.04626666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.024327
Dividend Growth 5yr,0.0
Short Int Current Month,2122971.0
Short Int Prev Month,2396875.0
Short Int Pct of Float,0.028343600000000004
Days to Cover,2.71198
Float,75.93841
Shares Outstanding,77.65594
Institutions Holding Shares,275.0
FCF Growth 5yr,-2.3620770896456715
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.35380000000000006
Operating Profit Margin (TTM),-0.0149
Net Profit Margin (TTM),-0.022000000000000002
Annual Dividend Yield,0.0177
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),2.8745
EPS Growth (TTM),-1.7813999999999999
Revenue Growth (MRQ),0.1134
Revenue Growth (TTM),0.1587
Return On Equity (TTM),-0.0376
Return On Assets (TTM),-0.0236
Return On Investment (TTM),-0.0326
Revenue Per Employee (TTM),463517.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.16
Interest Coverage (MRQ),1.8
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-01-07 00:00:00
cfra since,2019-01-23 00:00:00
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2020-08-11 00:00:00
