,PPG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.99,20.13,Valuation,1.4898161947342274
Price/Sales (TTM),1.78,3.27,Valuation,0.5443425076452599
Price/Book (MRQ),5.19,5.58,Valuation,0.9301075268817205
"PEG Ratio (TTM, GAAP)",5.26,0.12,Valuation,43.833333333333336
Gross Profit Margin (TTM),0.3677,0.3453,Profitability,1.0648711265566175
Operating Profit Margin (TTM),0.0753,0.0535,Profitability,1.407476635514019
Net Profit Margin (TTM),0.0616,0.0204,Profitability,3.019607843137255
Annual Dividend Yield,0.018600000000000002,0.0188,Dividend,0.9893617021276596
Dividend Change %,0.0762,0.102,Dividend,0.7470588235294119
"Dividend Growth Rate, 3 Years",0.0671,0.06910000000000001,Dividend,0.9710564399421129
EPS Growth (MRQ),-0.25420000000000004,-0.6111,Gowth rates,0.4159711994763542
EPS Growth (TTM),-0.2531,1.725,Gowth rates,-0.1467246376811594
Revenue Growth (MRQ),-0.0475,0.212,Gowth rates,-0.2240566037735849
Revenue Growth (TTM),0.0787,0.23420000000000002,Gowth rates,0.33603757472245943
Return On Equity (TTM),0.1721,0.2206,Effectiveness,0.7801450589301905
Return On Assets (TTM),0.0509,0.06420000000000001,Effectiveness,0.792834890965732
Return On Investment (TTM),0.0678,0.08410000000000001,Effectiveness,0.8061831153388822
Revenue Per Employee (TTM),358154.0,817013.0,Effectiveness,0.4383700136962325
Total Debt/Total Capital (MRQ),0.5251,0.4105,Financial strength,1.2791717417783193
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.001,Financial strength,0.5
Quick Ratio (MRQ),1.03,1.18,Financial strength,0.8728813559322035
Interest Coverage (MRQ),18.54,26.2,Financial strength,0.7076335877862595
