,PPG
% Above Low,0.22710000000000002
% Held by Institutions,0.7902
52-Wk Range,['107.06 - 177.32']
Annual Dividend $,2.48
Annual Dividend %,0.018600000000000002
Ask,131.43
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.2
Bid,131.37
Bid Size,200.0
Day Change $,-1.99
Day Change %,-0.0149
Day High,133.19
Day Low,131.29
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",4.45
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.35200000000000004
Last (size),100.0
Last (time),11:23a ET 11/28/22
Market Cap,30.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.99
Prev Close,133.36
Price,131.37
Short Interest,0.008199999999999999
Today's Open,132.3
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,-0.12024353120243536
Growth 1yr High Est,-0.15825375170532063
Growth 1yr Consensus Est,-0.139248641453878
Growth 2yr Low Est,-0.05839166179498939
Growth 2yr High Est,0.06106761361249369
Growth 2yr Consensus Est,0.0013379759087521481
Growth 5yr Low Est,-0.007287228746957086
Growth 5yr High Est,0.07371670185481352
Growth 5yr Consensus Est,0.03321473655392822
Growth 5yr Actual/Est,0.039916882416581256
Growth 3yr Historic,0.026029503017995143
Price/Earnings (TTM),29.98694
Price/Sales (TTM),1.77512
Price/Book (MRQ),5.19444
Price/Cash Flow (TTM),18.90425
5yr Low,69.77
5yr High,182.97
5yr Avg Return,0.03735000000000001
EPS Growth 5yr,0.235927
Revenue Growth 5yr,0.0332071
Dividend Growth 5yr,0.076953
Short Int Current Month,1928599.0
Short Int Prev Month,2260607.0
Short Int Pct of Float,0.0082296
Days to Cover,1.37969
Float,234.4023
Shares Outstanding,235.0274
Institutions Holding Shares,1228.0
FCF Growth 5yr,-0.8783077229151703
"Price/Earnings (TTM, GAAP)",29.99
"PEG Ratio (TTM, GAAP)",5.26
Gross Profit Margin (TTM),0.3677
Operating Profit Margin (TTM),0.0753
Net Profit Margin (TTM),0.0616
Annual Dividend Yield,0.018600000000000002
Dividend Change %,0.0762
"Dividend Growth Rate, 3 Years",0.0671
EPS Growth (MRQ),-0.25420000000000004
EPS Growth (TTM),-0.2531
Revenue Growth (MRQ),-0.0475
Revenue Growth (TTM),0.0787
Return On Equity (TTM),0.1721
Return On Assets (TTM),0.0509
Return On Investment (TTM),0.0678
Revenue Per Employee (TTM),358154.0
Total Debt/Total Capital (MRQ),0.5251
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),1.03
Interest Coverage (MRQ),18.54
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-13 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-22 00:00:00
ford since,2021-11-12 00:00:00
marketEdge opinion since,
