,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,35.56,35.45,,,,,
low,22.26,24.62,,,,,
change,0.20070000000000002,-0.0842,,,,,
Date,,,2021-12-25 00:00:00,2022-03-26 00:00:00,2022-06-25 00:00:00,2022-09-24 00:00:00,Balance Sheet
Cash and Short Term Invs,,,523.0,271.0,198.0,190.0,Balance Sheet
"Trade Accts Recvble, Gross",,,134.0,,,,Balance Sheet
Prov. for Doubtful Accts,,,-16.0,,,,Balance Sheet
"Trade Accts Recvble, Net",,,118.0,134.0,178.0,156.0,Balance Sheet
Other Receivables,,,7.0,5.0,5.0,5.0,Balance Sheet
"Total Receivables, Net",,,125.0,139.0,183.0,161.0,Balance Sheet
Total Inventory,,,47.0,49.0,53.0,63.0,Balance Sheet
Prepaid Expenses,,,24.0,25.0,48.0,53.0,Balance Sheet
Restricted Cash - Current,,,46.0,52.0,56.0,54.0,Balance Sheet
Discont. Ops.-Curr. Assets,,,3.0,3.0,3.0,0.0,Balance Sheet
"Other Curr. Assets, Total",,,49.0,55.0,60.0,54.0,Balance Sheet
Total Current Assets,,,769.0,538.0,542.0,522.0,Balance Sheet
Prop./Plant/Equip. - Net,,,2347.0,2411.0,2513.0,2783.0,Balance Sheet
"Goodwill, Net",,,1910.0,2045.0,2108.0,2083.0,Balance Sheet
Intangibles - Net,,,816.0,863.0,733.0,718.0,Balance Sheet
Note Rcvble - Long Term,,,14.0,20.0,16.0,16.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,2.0,1.0,1.0,1.0,Balance Sheet
Total Assets,,,5857.0,5878.0,5913.0,6123.0,Balance Sheet
Accounts Payable,,,83.0,85.0,115.0,79.0,Balance Sheet
Accrued Expenses,,,298.0,242.0,254.0,266.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,26.0,23.0,24.0,24.0,Balance Sheet
Income Taxes Payable,,,11.0,21.0,30.0,48.0,Balance Sheet
Other Current Liabilities,,,51.0,53.0,55.0,51.0,Balance Sheet
"Other Curr. Lblts, Total",,,62.0,74.0,85.0,99.0,Balance Sheet
Total Current Liabilities,,,468.0,424.0,477.0,469.0,Balance Sheet
Long Term Debt,,,2328.0,2327.0,2430.0,2619.0,Balance Sheet
Capital Lease Obligations,,,28.0,31.0,35.0,37.0,Balance Sheet
Total Long Term Debt,,,2356.0,2358.0,2465.0,2657.0,Balance Sheet
Total Debt,,,2382.0,2381.0,2488.0,2680.0,Balance Sheet
Deferred Income Tax,,,257.0,257.0,223.0,212.0,Balance Sheet
Minority Interest,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Liabilities, Total",,,1130.0,1161.0,1164.0,1221.0,Balance Sheet
Total Liabilities,,,4213.0,4200.0,4331.0,4558.0,Balance Sheet
Common Stock,,,2.0,2.0,2.0,2.0,Balance Sheet
Additional Paid-In Capital,,,1606.0,1611.0,1615.0,1620.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,42.0,76.0,19.0,57.0,Balance Sheet
Cum. Trans. Adjustment,,,-4.0,-10.0,-52.0,-123.0,Balance Sheet
Min. Pension Lblty Adj.,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,-1.0,-1.0,-1.0,8.0,Balance Sheet
"Other Equity, Total",,,-5.0,-10.0,-53.0,-115.0,Balance Sheet
Total Equity,,,1644.0,1678.0,1583.0,1564.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,5857.0,5878.0,5913.0,6123.0,Balance Sheet
Ttl Comm. Shares Outs.,,,168.0,167.0,168.0,168.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-25 00:00:00,2022-03-26 00:00:00,2022-06-25 00:00:00,2022-09-24 00:00:00,Income Statement
Total Revenue,,,392.0,468.0,509.0,517.0,Income Statement
"Cost of Revenue, Total",,,205.0,244.0,258.0,274.0,Income Statement
Selling/Gen/Admin Expense,,,73.0,89.0,95.0,78.0,Income Statement
Labor & Related Expense,,,1.0,3.0,4.0,5.0,Income Statement
Advertising Expense,,,18.0,20.0,22.0,22.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,93.0,111.0,121.0,105.0,Income Statement
Depreciation/Amortization,,,34.0,33.0,38.0,37.0,Income Statement
Impair-Assets Held for Use,,,0.0,1.0,125.0,3.0,Income Statement
Other Unusual Expnse (In),,,60.0,5.0,3.0,2.0,Income Statement
