,THG
% Below High,0.0676
% Held by Institutions,0.8805
52-Wk Range,['121.69 - 155.55']
Annual Dividend $,3.0
Annual Dividend %,0.0203
Ask,232.73
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,58.19
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,145.03
Day Change $,-2.44
Day Change %,-0.0165
Day High,147.7
Day Low,145.03
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",8.11
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.264
Last (size),116.0
Last (time),4:10p ET 11/28/22
Last Trade,145.03
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.18
Prev Close,147.47
Short Interest,0.0149
Today's Open,146.8
Volume,84087.0
Volume 10-day Avg,143666.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.02750000000000008
Growth 1yr High Est,0.10365853658536595
Growth 1yr Consensus Est,0.06557926829268301
Growth 2yr Low Est,0.00036800486618004946
Growth 2yr High Est,0.2286248484031802
Growth 2yr Consensus Est,0.11449642663468013
Growth 5yr Low Est,0.00018400243309002473
Growth 5yr High Est,0.1143124242015901
Growth 5yr Consensus Est,0.05724821331734006
Growth 5yr Actual/Est,0.07062869488968257
Growth 3yr Historic,0.019713035428763764
Price/Earnings (TTM),18.17792
Price/Sales (TTM),0.96503
Price/Book (MRQ),2.28666
Price/Cash Flow (TTM),17.14408
5yr Low,75.11
5yr High,155.55
5yr Avg Return,0.056749999999999995
EPS Growth 5yr,0.49386420000000003
Revenue Growth 5yr,0.0459581
Dividend Growth 5yr,0.0867694
Short Int Current Month,524575.0
Short Int Prev Month,601836.0
Short Int Pct of Float,0.0148977
Days to Cover,3.12669
Float,35.26521
Shares Outstanding,35.56231
Institutions Holding Shares,446.0
FCF Growth 5yr,0.27409915969995785
"Price/Earnings (TTM, GAAP)",18.18
"PEG Ratio (TTM, GAAP)",1.12
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.08289999999999999
Net Profit Margin (TTM),0.0536
Annual Dividend Yield,0.0203
Dividend Change %,0.0755
"Dividend Growth Rate, 3 Years",0.0868
EPS Growth (MRQ),-0.9737000000000001
EPS Growth (TTM),-0.2936
Revenue Growth (MRQ),0.044000000000000004
Revenue Growth (TTM),0.0815
Return On Equity (TTM),0.10800000000000001
Return On Assets (TTM),0.0209
Return On Investment (TTM),
Revenue Per Employee (TTM),1235091.0
Total Debt/Total Capital (MRQ),0.2541
Change in Debt/Total Capital Quarter over Quarter,0.0003
Quick Ratio (MRQ),
Interest Coverage (MRQ),8.8
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-06-10 00:00:00
theStreet since,2020-08-10 00:00:00
ford since,2022-06-10 00:00:00
cfra since,
marketEdge opinion since,
