,THG,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.18,19.05,Valuation,0.9543307086614172
Price/Sales (TTM),0.97,2.31,Valuation,0.4199134199134199
Price/Book (MRQ),2.29,3.65,Valuation,0.6273972602739726
"PEG Ratio (TTM, GAAP)",1.12,6.78,Valuation,0.16519174041297935
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),0.08289999999999999,0.1342,Profitability,0.6177347242921012
Net Profit Margin (TTM),0.0536,0.1081,Profitability,0.4958371877890842
Annual Dividend Yield,0.0203,0.0167,Dividend,1.215568862275449
Dividend Change %,0.0755,-0.004,Dividend,-18.875
"Dividend Growth Rate, 3 Years",0.0868,0.0233,Dividend,3.725321888412017
EPS Growth (MRQ),-0.9737000000000001,-0.11750000000000001,Gowth rates,8.286808510638298
EPS Growth (TTM),-0.2936,-0.0281,Gowth rates,10.448398576512457
Revenue Growth (MRQ),0.044000000000000004,0.0922,Gowth rates,0.4772234273318872
Revenue Growth (TTM),0.0815,0.0431,Gowth rates,1.8909512761020884
Return On Equity (TTM),0.10800000000000001,0.35479999999999995,Effectiveness,0.30439684329199557
Return On Assets (TTM),0.0209,0.031200000000000002,Effectiveness,0.6698717948717948
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),1235091.0,1270541.0,Effectiveness,0.9720984997729314
Total Debt/Total Capital (MRQ),0.2541,0.38939999999999997,Financial strength,0.652542372881356
Change in Debt/Total Capital Quarter over Quarter,0.0003,0.0019,Financial strength,0.15789473684210525
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),8.8,10.36,Financial strength,0.8494208494208495
