,CCB
% Below High,0.09939999999999999
% Held by Institutions,0.5747
52-Wk Range,['35.61 - 54.41']
Annual Dividend $,
Annual Dividend %,
Ask,55.0
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,1.1
Bid,49.0
Bid Size,200.0
Closing Price,49.0
Day Change $,0.07
Day Change %,0.0014000000000000002
Day High,49.12
Day Low,48.66
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.61
Ex-dividend Date,No dividend
Historical Volatility,0.354
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,636.7M
"P/E Ratio (TTM, GAAP)",18.75
Prev Close,48.93
Short Interest,0.0294
Today's Open,48.66
Volume,8553.0
Volume 10-day Avg,49334.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3970588235294117
Growth 1yr High Est,0.4036697247706422
Growth 1yr Consensus Est,0.40036427415002696
Growth 2yr Low Est,0.41782765737874084
Growth 2yr High Est,0.4142531630389159
Growth 2yr Consensus Est,0.41604041020882837
Growth 5yr Low Est,0.4146824646312201
Growth 5yr High Est,0.4310463802764867
Growth 5yr Consensus Est,0.4228644224538534
Growth 5yr Actual/Est,0.4174433261567193
Growth 3yr Historic,0.22252090800477903
Price/Earnings (TTM),18.74594
Price/Sales (TTM),2.65599
Price/Book (MRQ),2.77517
Price/Cash Flow (TTM),17.37632
5yr Low,8.41
5yr High,54.41
5yr Avg Return,0.3297
EPS Growth 5yr,0.37505000000000005
Revenue Growth 5yr,0.2389548
Dividend Growth 5yr,
Short Int Current Month,303777.0
Short Int Prev Month,251750.0
Short Int Pct of Float,0.0294335
Days to Cover,5.67839
Float,10.50068
Shares Outstanding,12.96203
Institutions Holding Shares,149.0
FCF Growth 5yr,0.6753921841641141
"Price/Earnings (TTM, GAAP)",18.75
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.184
Net Profit Margin (TTM),0.14550000000000002
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0833
EPS Growth (TTM),0.3311
Revenue Growth (MRQ),0.3195
Revenue Growth (TTM),1.0187000000000002
Return On Equity (TTM),0.17850000000000002
Return On Assets (TTM),0.0125
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-07-29 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
theStreet since,2021-07-20 00:00:00
newConstructs since,
marketEdge opinion since,
