,CCB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",18.75,11.43,Valuation,1.6404199475065617
Price/Sales (TTM),2.66,3.3,Valuation,0.8060606060606061
Price/Book (MRQ),2.78,1.46,Valuation,1.9041095890410957
"PEG Ratio (TTM, GAAP)",,1.15,Valuation,
Gross Profit Margin (TTM),,0.0072,Profitability,
Operating Profit Margin (TTM),0.184,0.34240000000000004,Profitability,0.5373831775700934
Net Profit Margin (TTM),0.14550000000000002,0.2812,Profitability,0.517425320056899
Annual Dividend Yield,,0.028700000000000003,Dividend,
Dividend Change %,,-0.0086,Dividend,
"Dividend Growth Rate, 3 Years",,0.0734,Dividend,
EPS Growth (MRQ),0.0833,-0.0335,Gowth rates,-2.4865671641791045
EPS Growth (TTM),0.3311,-0.09960000000000001,Gowth rates,-3.3242971887550197
Revenue Growth (MRQ),0.3195,0.5429,Gowth rates,0.5885061705654816
Revenue Growth (TTM),1.0187000000000002,0.2466,Gowth rates,4.130981346309814
Return On Equity (TTM),0.17850000000000002,0.1135,Effectiveness,1.5726872246696038
Return On Assets (TTM),0.0125,0.0099,Effectiveness,1.2626262626262625
Return On Investment (TTM),,-0.0004,Effectiveness,
Revenue Per Employee (TTM),,7475.75,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0086,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0022,0.0009,Financial strength,-2.4444444444444446
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
