,FSLR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",194.67,20.56,Valuation,9.468385214007782
Price/Sales (TTM),7.24,7.41,Valuation,0.9770580296896086
Price/Book (MRQ),3.14,13.13,Valuation,0.23914699162223915
"PEG Ratio (TTM, GAAP)",,0.9,Valuation,
Gross Profit Margin (TTM),0.1242,0.5489,Profitability,0.22627072326471123
Operating Profit Margin (TTM),0.076,0.25739999999999996,Profitability,0.2952602952602953
Net Profit Margin (TTM),0.0375,0.2224,Profitability,0.16861510791366907
Annual Dividend Yield,,0.014499999999999999,Dividend,
Dividend Change %,,0.0676,Dividend,
"Dividend Growth Rate, 3 Years",,0.091,Dividend,
EPS Growth (MRQ),-1.8849,1.5356,Gowth rates,-1.2274680906486064
EPS Growth (TTM),-0.7920999999999999,0.2274,Gowth rates,-3.4832893579595425
Revenue Growth (MRQ),0.0128,0.1335,Gowth rates,0.09588014981273409
Revenue Growth (TTM),-0.0385,0.24170000000000003,Gowth rates,-0.1592883740173769
Return On Equity (TTM),0.0163,0.36920000000000003,Effectiveness,0.044149512459371605
Return On Assets (TTM),0.0128,0.16010000000000002,Effectiveness,0.07995003123048094
Return On Investment (TTM),0.0143,0.1925,Effectiveness,0.07428571428571429
Revenue Per Employee (TTM),525885.0,898550.0,Effectiveness,0.585259584886762
Total Debt/Total Capital (MRQ),0.042699999999999995,0.3576,Financial strength,0.11940715883668904
Change in Debt/Total Capital Quarter over Quarter,-0.001,0.0,Financial strength,-inf
Quick Ratio (MRQ),3.1,2.24,Financial strength,1.3839285714285714
Interest Coverage (MRQ),,15.8,Financial strength,
