,FSLR
% Below High,0.0103
% Held by Institutions,0.7957
52-Wk Range,['59.60 - 173.21']
Annual Dividend $,
Annual Dividend %,
Ask,172.36
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,171.25
Bid Size,100.0
Closing Price,171.43
Day Change $,1.96
Day Change %,0.0116
Day High,173.21
Day Low,167.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.88
Ex-dividend Date,No dividend
Historical Volatility,0.511
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,18.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",194.67
Prev Close,169.47
Short Interest,0.0393
Today's Open,169.02
Volume,1116948.0
Volume 10-day Avg,2056587.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-1.2038216560509554
Growth 1yr High Est,-1.0334075723830736
Growth 1yr Consensus Est,-1.1186146142170146
Growth 2yr Low Est,-1.7112858280254777
Growth 2yr High Est,-29.050037119524873
Growth 2yr Consensus Est,-15.380661473775175
Growth 5yr Low Est,-1.000585725470982
Growth 5yr High Est,-19.33587227270839
Growth 5yr Consensus Est,-10.168228999089687
Growth 5yr Actual/Est,-2.2318858057241635
Growth 3yr Historic,0.4236332512136801
Price/Earnings (TTM),194.6741
Price/Sales (TTM),7.23994
Price/Book (MRQ),3.13562
Price/Cash Flow (TTM),50.87395
5yr Low,28.47
5yr High,170.52
5yr Avg Return,0.2697833333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0012921
Dividend Growth 5yr,
Short Int Current Month,3976232.0
Short Int Prev Month,4091256.0
Short Int Pct of Float,0.0393429
Days to Cover,1.36911
Float,101.0686
Shares Outstanding,106.6056
Institutions Holding Shares,794.0
FCF Growth 5yr,0.19426936949675502
"Price/Earnings (TTM, GAAP)",194.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1242
Operating Profit Margin (TTM),0.076
Net Profit Margin (TTM),0.0375
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.8849
EPS Growth (TTM),-0.7920999999999999
Revenue Growth (MRQ),0.0128
Revenue Growth (TTM),-0.0385
Return On Equity (TTM),0.0163
Return On Assets (TTM),0.0128
Return On Investment (TTM),0.0143
Revenue Per Employee (TTM),525885.0
Total Debt/Total Capital (MRQ),0.042699999999999995
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),3.1
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-10-31 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-26 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
