,FSLR
Price/Earnings (TTM),194.6741
Price/Sales (TTM),7.23994
Price/Book (MRQ),3.13562
Price/Cash Flow (TTM),50.87395
5yr Low,28.47
5yr High,170.52
5yr Avg Return,0.2697833333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.0012921
Dividend Growth 5yr,
Short Int Current Month,3976232.0
Short Int Prev Month,4091256.0
Short Int Pct of Float,0.0393429
Days to Cover,1.36911
Float,101.0686
Shares Outstanding,106.6056
Institutions Holding Shares,794.0
% Held by Institutions,0.7956780000000001
FCF Growth 5yr,0.19426936949675502
