,CSII
% Above Low,0.1587
% Held by Institutions,0.861
52-Wk Range,['12.26 - 23.76']
Annual Dividend $,
Annual Dividend %,
Ask,16.23
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,0.9
Bid,5.65
Bid Size,200.0
Closing Price,14.2
Day Change $,0.12
Day Change %,0.0085
Day High,14.22
Day Low,13.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.99
Ex-dividend Date,No dividend
Historical Volatility,0.534
Last (size),19.0
Last (time),12:59p ET 11/25/22
Market Cap,595.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,14.08
Short Interest,0.0315
Today's Open,14.11
Volume,60598.0
Volume 10-day Avg,238838.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.18947368421052624
Growth 1yr High Est,-0.2906976744186046
Growth 1yr Consensus Est,-0.24008567931456543
Growth 2yr Low Est,-0.1336978810663021
Growth 2yr High Est,-0.3010865421273351
Growth 2yr Consensus Est,-0.2173922115968186
Growth 5yr Low Est,-0.07694995063416116
Growth 5yr High Est,-0.04220993773033421
Growth 5yr Consensus Est,-0.059579944182247685
Growth 5yr Actual/Est,0.1505391289292448
Growth 3yr Historic,0.28218806509945754
Price/Earnings (TTM),
Price/Sales (TTM),2.50385
Price/Book (MRQ),2.45661
Price/Cash Flow (TTM),
5yr Low,12.26
5yr High,55.22
5yr Avg Return,-0.01048333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.0288525
Dividend Growth 5yr,
Short Int Current Month,1268502.0
Short Int Prev Month,1557876.0
Short Int Pct of Float,0.0314861
Days to Cover,4.37009
Float,40.34915
Shares Outstanding,41.88225
Institutions Holding Shares,229.0
FCF Growth 5yr,0.10487044172202557
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7229000000000001
Operating Profit Margin (TTM),-0.1625
Net Profit Margin (TTM),-0.16399999999999998
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.08990000000000001
EPS Growth (TTM),-0.9322
Revenue Growth (MRQ),-0.0452
Revenue Growth (TTM),-0.0751
Return On Equity (TTM),-0.15410000000000001
Return On Assets (TTM),-0.12090000000000001
Return On Investment (TTM),-0.1381
Revenue Per Employee (TTM),327621.0
Total Debt/Total Capital (MRQ),0.077
Change in Debt/Total Capital Quarter over Quarter,0.0005
Quick Ratio (MRQ),5.2
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2021-05-07 00:00:00
ford since,2022-05-06 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2021-05-12 00:00:00
