,CSII,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),2.5,9.8,Valuation,0.25510204081632654
Price/Book (MRQ),2.46,10.31,Valuation,0.23860329776915615
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7229000000000001,0.6196,Profitability,1.1667204648160103
Operating Profit Margin (TTM),-0.1625,0.047,Profitability,-3.4574468085106385
Net Profit Margin (TTM),-0.16399999999999998,0.009300000000000001,Profitability,-17.634408602150533
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.08990000000000001,-0.4858,Gowth rates,0.18505557842733636
EPS Growth (TTM),-0.9322,-0.2029,Gowth rates,4.594381468703795
Revenue Growth (MRQ),-0.0452,0.1161,Gowth rates,-0.38931955211024977
Revenue Growth (TTM),-0.0751,0.18300000000000002,Gowth rates,-0.41038251366120215
Return On Equity (TTM),-0.15410000000000001,0.1068,Effectiveness,-1.4428838951310863
Return On Assets (TTM),-0.12090000000000001,0.0622,Effectiveness,-1.9437299035369777
Return On Investment (TTM),-0.1381,0.0732,Effectiveness,-1.8866120218579234
Revenue Per Employee (TTM),327621.0,403586.0,Effectiveness,0.8117749376836659
Total Debt/Total Capital (MRQ),0.077,0.3161,Financial strength,0.24359379943055995
Change in Debt/Total Capital Quarter over Quarter,0.0005,0.0125,Financial strength,0.04
Quick Ratio (MRQ),5.2,2.25,Financial strength,2.3111111111111113
Interest Coverage (MRQ),,14.99,Financial strength,
