,FFIV
% Above Low,0.16149999999999998
% Held by Institutions,0.9833
52-Wk Range,['133.68 - 249.00']
Annual Dividend $,
Annual Dividend %,
Ask,155.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,154.64
Bid Size,100.0
Closing Price,155.27
Day Change $,-0.46
Day Change %,-0.003
Day High,156.44
Day Low,154.83
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.28
Ex-dividend Date,No dividend
Historical Volatility,0.374
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,9.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.4
Prev Close,155.73
Short Interest,0.0352
Today's Open,155.74
Volume,224386.0
Volume 10-day Avg,494848.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.10248756218905464
Growth 1yr High Est,0.13746369796708624
Growth 1yr Consensus Est,0.11997563007807044
Growth 2yr Low Est,0.09276002658189197
Growth 2yr High Est,0.1857531255792878
Growth 2yr Consensus Est,0.1392565760805899
Growth 5yr Low Est,0.06900988088712737
Growth 5yr High Est,0.11842438027602187
Growth 5yr Consensus Est,0.09371713058157462
Growth 5yr Actual/Est,0.0966884301520389
Growth 3yr Historic,0.024081915535340753
Price/Earnings (TTM),29.4004
Price/Sales (TTM),3.47699
Price/Book (MRQ),3.7645
Price/Cash Flow (TTM),21.41183
5yr Low,79.78
5yr High,249.0
5yr Avg Return,0.07473333333333333
EPS Growth 5yr,-0.040853799999999996
Revenue Growth 5yr,0.0522236
Dividend Growth 5yr,
Short Int Current Month,2110192.0
Short Int Prev Month,2251642.0
Short Int Pct of Float,0.0351905
Days to Cover,3.75333
Float,60.05924
Shares Outstanding,60.36861
Institutions Holding Shares,754.0
FCF Growth 5yr,0.7942341190313241
"Price/Earnings (TTM, GAAP)",29.4
"PEG Ratio (TTM, GAAP)",3.13
Gross Profit Margin (TTM),0.7998000000000001
Operating Profit Margin (TTM),0.14980000000000002
Net Profit Margin (TTM),0.1195
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0781
EPS Growth (TTM),-0.0126
Revenue Growth (MRQ),0.0379
Revenue Growth (TTM),0.0355
Return On Equity (TTM),0.1334
Return On Assets (TTM),0.06269999999999999
Return On Investment (TTM),0.09150000000000001
Revenue Per Employee (TTM),380286.0
Total Debt/Total Capital (MRQ),0.1241
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),1.0
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-18 00:00:00
researchTeam since,2022-01-25 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-01-25 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
